ān fèng	安鳳
yán yì	嚴抑
yán yùn	嚴惲
yán zhèn	嚴震
yáng chéng	楊乘
yáng chí	楊持
yáng chūn	陽春
yáng fēn	楊玢
yáng héng	楊衡
yáng hòu	楊厚
yáng huì	楊繪
yáng jiàn	楊諫
yáng jǐng	楊景
yáng jūn	楊均
yáng jùn	楊浚
yáng kuí	楊夔
yáng luán	楊鸞
yáng pǔ	楊樸
yáng shì	楊適
yáng shōu	楊收
yáng sù	楊素
yáng sǔn	楊損
yáng xì	楊系
yáng xù	楊續
yáng yán	楊顏
yáo fā	姚發
yáo hé	姚合
yáo hú	姚鵠
yáo huā	瑤花
yáo kuí	姚揆
yáo lún	姚倫
yáo miǎn	姚勉
yáo róng	姚嶸
yáo wò	姚偓
yáo xì	姚系
yáo xiàng	姚向
yè cǎi	葉采
yè chāng	葉閶
yè chí	夜池
yè lǐ	葉李
yè rùn	葉潤
yè sī	夜思
yè yǐn	夜飲
yī dǒng	一董
yī fán	伊璠
yī jiē	猗嗟
yì shì	憶事
yì sī	易思
yí sòng	一送
yī xiān	一先
yì zhòng	易重
yì zuì	憶醉
yīn cóng	殷琮
yǐn huàn	尹煥
yǐn luán	隱巒
yǐn mào	尹懋
yǐn pú	尹璞
yín qiáo	吟喬
yǐn shì	尹式
yīn yáo	殷遙
yīn yì	殷益
yīn yín	殷寅
yīng chàng	應瑒
yǐng zhōu	穎州
yōng fēng	鄘風
yǒng huái	詠槐
yǒng xián	詠閒
yǒng yì	詠意
yǒng zhuō	詠拙
yǒu hú	有狐
yóu lái	猶來
yòu qīng	幼卿
yóu tóng	尤侗
yú áo	於敖
yǔ bào	庾抱
yú chóu	虞儔
yù fú	喻鳧
yú fǔ	漁父
yú hào	俞灝
yú hú	於鵠
yù huái	諭懷
yú jiǎn	俞簡
yú mǒu	虞某
yǔ qīn	與親
yú shào	於邵
yù shǔ	欲曙
yū sǒu	迂叟
yú wēng	漁翁
yú yè	於鄴
yù yīng	玉英
yuán chún	元淳
yuàn cí	怨詞
yuán fú	元孚
yuán huì	元晦
yuán jì	元寂
yuán jiàng	元絳
yuán jiāo	袁郊
yuán jié	元結
yuán lù	緣路
yuàn qíng	怨情
yuán shèng	元晟
yuǎn shī	遠師
yuán táo	袁綯
yuán zài	元載
yuán zhěn	元稹
yuè àn	月暗
yuè chū	月出
yuè fǔ	岳甫
yuè fù	月賦
yuè màn	月慢
yuè niáng	越娘
yuè wū	越巫
yuē xīn	約心
yuè zhèng	樂正
yún biǎo	雲表
yún hé	雲和
yùn lìng	韻令
yún róng	雲容
zài chí	載馳
zài qū	載驅
zǎo chán	早蟬
zǎo cháo	早朝
zǎo chūn	早春
zǎo dōng	早冬
