ān fèng	安鳳
shì jiǔ pín jū guàn	貰酒貧居慣
shī jiǔ qín qí kè	詩酒琴棋客
shì jiǔ qú zūn mǎn	侍酒衢樽滿
shī jiǔ shèng cè fǔ	詩酒盛冊府
shǐ jiù shī fù kē	始就詩賦科
shī jiǔ shì háo zòng	詩酒事豪縱
shí jiǔ shòu xiào shū	十九授校書
shī jiǔ tóng háng lè	詩酒同行樂
shí jiù wǎn xiāng jiàn	實咎晚相見
shì jiǔ wú cǐ shì	世久無此士
shì jiǔ xuàn mù jīng	視久眩目睛
shì jiǔ xuān píng lǐ	貰酒宣平裏
shì jiǔ yí chéng jìn	貰酒宜城近
shì jiù yī sān gōng	恃舊揖三公
shì jiǔ yì shū fàng	嗜酒益疏放
shì jiǔ yǒu bó lún	嗜酒有伯倫
shī jiǔ yǔ shuí tóng	詩酒與誰同
shì jiǔ zhuǎn jiā pín	嗜酒轉家貧
shī jiǔ zì xiāng yíng	詩酒自相迎
shī jiǔ zuò liáo tiān	詩酒坐寥天
shí jú bù gǎn yú	食菊不敢餘
shí jú chú gān zhè	蒔橘鋤甘蔗
shí jú dú yán huá	時菊獨妍華
shī jù duō xià jǐng	詩句多夏景
shī jū ér lóng jiàn	屍居而龍見
shí jú fāng xiān yùn	時菊芳仙醞
shí jú fù qīng qú	時菊覆清渠
shì jú huā kāi rì	是菊花開日
shī jù miào jiǔ zhōu	詩句妙九州
shí jú nǎi yíng fàn	時菊乃盈泛
shí jú níng xiǎo lù	時菊凝曉露
shī jù ǒu wèi dé	詩句偶未得
shī jù qiě pái mèn	詩句且排悶
shī jù qiě yú xīn	詩句且娛心
shī jù qīn táng gé	詩句侵唐格
shī jù shí yú qíng	詩句識餘情
shí jú suì zhēn cóng	時菊碎榛叢
shì jù táo huā yuán	室距桃花源
shī jù tuò chéng zhū	詩句唾成珠
shì jù wàn guó zūn	勢據萬國尊
shí jú xǐ lù huá	時菊洗露華
shì jū xiāng zhěn jiè	室居相枕藉
shì jù yǎng tōng cái	試劇仰通才
shǐ jù zhōng chéng sàn	始聚終成散
shī juàn duò wǒ qián	詩卷墮我前
shǐ jué ān qiě biàn	始覺安且便
shí jué bú yuàn yú	食蕨不願餘
shǐ jué dōng méng cháng	始覺東蒙長
shǐ jué fāng suì wǎn	始覺芳歲晚
shǐ jué fēi chén juàn	始覺飛塵倦
shǐ jué fēi gù yǔ	始覺非故宇
shǐ jué fēng dī xīng	始覺鋒鏑腥
shǐ jué héng mén xià	始覺衡門下
shǐ jué huò bàn tǔ	始嚼或半吐
shǐ jué jì yóu chǔ	始掘既由楚
shǐ jué lí yōu huàn	始覺離憂患
shǐ jué liǔ tiáo xīn	始覺柳條新
shǐ jué píng yě ài	始覺平野隘
shǐ jué qiān bēi jù	始覺牽卑劇
shǐ jué qián jì fēi	始覺前計非
shǐ jué qiū fēi chūn	始覺秋非春
shǐ jué qiū fēng hái	始覺秋風還
shǐ jué rú fēng yuǎn	始覺儒風遠
shǐ jué shān lín zūn	始覺山林尊
shǐ jué shì wù qiān	始覺世務牽
shǐ jué suǒ lì gāo	始覺所歷高
shǐ jué tiān yǔ dà	始覺天宇大
shì jué wàn shǒu qiān	事絕萬手搴
shǐ jué wéi shān rén	始覺韋山人
shǐ jué wú jī shù	始覺無羈束
shǐ jué xīn hé píng	始覺心和平
shǐ jué xíng shèng shū	始覺形勝殊
shǐ jué yě róng wàng	始覺冶容妄
shǐ jué zhī yīn qīng	始覺知音傾
shǐ jūn ān zài zāi	使君安在哉
shǐ jūn biān shèn cháng	使君鞭甚長
shǐ jūn bú làng chū	使君不浪出
shì jūn bú yù shì	事君不遇世
shǐ jūn cháo běi quē	使君朝北闕
shǐ jūn chí jié qù	使君持節去
shǐ jūn chuán jiù dé	使君傳舊德
shǐ jūn cóng nán lái	使君從南來
shǐ jūn dú mù gǔ	使君獨慕古
shì jūn duàn cháng chù	是君斷腸處
shǐ jūn fēi shì rén	史君非世人
shǐ jūn hán zèng páo	使君寒贈袍
shǐ jūn hé jiǎ wèn	使君何假問
shí jūn hèn bù zǎo	識君恨不早
shǐ jūn jīn zǐ yì	使君今子義
shǐ jūn jìng bú zhù	使君竟不住
shì jūn jiù yóu chù	是君舊遊處
shǐ jūn jū shàng tóu	使君居上頭
shí jūn kāng bǐ yú	食君糠秕餘
shǐ jūn lǎo ér chī	使君老而癡
shǐ jūn lián xiǎo ruǎn	使君憐小阮
shǐ jūn mǎ yì lì	使君馬亦利
shǐ jūn nà zhù mǎ	使君那駐馬
shǐ jūn nán mò tóu	使君南陌頭
shí jūn nián yǐ lǎo	識君年已老
shǐ jūn qǐ gāo zhì	始君啓高致
shǐ jūn qì xiāng qiú	使君氣相求
shǐ jūn qí zǐ mǎ	使君騎紫馬
shǐ jūn qiě bú gù	使君且不顧
shǐ jūn rú tiān mǎ	使君如天馬
shǐ jūn shí bù chī	使君實不癡
shǐ jūn shù kāi yán	使君數開筵
shǐ jūn shuāng zào gài	使君雙皁蓋
shǐ jūn sì shí sì	使君四十四
shǐ jūn tān shàng cǎo	使君灘上草
shǐ jūn táo lǐ xīn	使君桃李新
shǐ jūn tíng wǔ mǎ	使君停五馬
shì jūn tóng shí zhě	是君同時者
shí jūn wǔ cáo zhòng	石君五曹重
shǐ jūn xián rú yún	使君閒如雲
shǐ jūn xīn wú shì	使君心無事
shǐ jūn yàn qí cóng	使君厭騎從
shǐ jūn yì zhāo qù	使君一朝去
shǐ jūn yǐn wǒ yán	使君飲我言
shǐ jūn yōng míng zōu	使君擁鳴騶
shǐ jūn yǒu lìng zǐ	使君有令子
shǐ jūn yǒu yǔ yì	使君有羽翼
shǐ jūn yù chūn yóu	使君欲春遊
shǐ jūn yǔ yōng róng	使君語雍容
shǐ jūn zhì jiǔ bà	使君置酒罷
shī jūn zhí qiě wēn	師君直且溫
shǐ jūn zhī xìng yě	使君知性野
shǐ jūn zhū liǎng fān	使君朱兩轓
shǐ jūn zhù mǎ yán	使君駐馬言
shǐ jūn zǐ bǎi xìng	使君子百姓
shǐ jūn zì gū fèn	使君自孤憤
shǐ jūn zì yǒu fù	使君自有婦
shǐ jūn zuò wú liáo	使君坐無聊
shí kāi chí shàng zhuó	時開池上酌
shì kāi hé yuán dì	誓開河源地
shì kāi lín shuǐ diàn	試開臨水殿
shí kāi shí zǐ yì	時開識子意
shì kāi xuán míng běi	誓開玄冥北
shí kàn běi dǒu biāo	時看北斗杓
shí kàn bì gǔ fāng	時看辟穀方
shí kàn chì bái náng	時看赤白囊
shì kàn fēi niǎo lè	試看飛鳥樂
shí kàn hóng yàn tiān	時看鴻雁天
shí kàn qīng què fǎng	時看青雀舫
shí kān tái xiǎn jī	石龕苔蘚積
shí kān táo lìng zuì	時堪陶令醉
shí kàn wèi zhāo xī	時看慰朝夕
shǐ kàn xuán niǎo lái	始看玄鳥來
shǐ kàn yì chūn fēng	始看憶春風
shī kàn zǐ jiàn qīn	詩看子建親
shí kāng qià shǎng yán	時康洽賞延
shí kāng sú yì jiàn	時康俗易漸
shí kāng suì yǐ shēn	時康歲已深
shī kè ài shí jǐng	詩客愛時景
shī kè gèng hé rén	詩客更何人
shǐ kè xiàng hé yuán	使客向河源
shí kǒng rén shì chóu	實恐人事稠
shì kōng wéi fǎ xǐ	室空惟法喜
shí kǒu gé fēng xuě	十口隔風雪
shí kòu lú lóng yíng	時寇盧龍營
shí kǒu sān bǎi zhǐ	食口三百指
shí kū hán yún cháo	石窟含雲巢
shí kǔ hé néng gān	食苦何能甘
shí kū jué xíng jì	石窟絕行跡
shí kū shān mù jiāo	石枯山木燋
shí kū wú rén yān	石窟無人煙
shì kǔ xíng hái hēi	士苦形骸黑
shǐ kuài dàn shù qǔ	使快彈數曲
shí kuài xiǎo jiāng yú	時膾小江魚
shǐ kuì cái qíng báo	始愧才情薄
shī kuī guān jū luàn	詩窺關雎亂
shí kuī wǔ qiān yán	時窺五千言
shì kùn yì wéi dé	士困易為德
shí lái bàng yǐng fēi	時來傍影飛
shí lái běi chuāng yuè	時來北窗閱
shí lái běn bù yú	時來本不愚
shí lái běn xū yú	時來本須臾
shí lái biàn yào míng	時來辨藥名
shí lái bù guān rén	時來不關人
shí lái bù jiǎ wèn	時來不假問
shí lái bù kě è	時來不可遏
shí lái bù kě wèn	時來不可問
shí lái bú liào liàng	時來不料量
shí lái bú zì yì	時來不自意
shí lái chéng bú ràng	時來誠不讓
shí lái chǒu yì yán	時來醜亦妍
shí lái chū lín hè	時來出林壑
shí lái dāng zì zhì	時來當自致
shí lái dào yì xíng	時來道易行
shí lái de wù yǔ	時來得晤語
shì lái dēng shū tíng	試來登殊亭
shí lái fǎng lǎo jí	時來訪老疾
shí lái gè fēi dòng	時來各飛動
shí lái gù jiù shǎo	時來故舊少
shí lái gù wǒ xiào	時來顧我笑
shì lái guǒ wēi shàng	適來果微尚
shí lái hé zú xǐ	時來何足喜
shí lái hū yì shī	時來忽易失
shí lái huò zhāo xún	時來或招尋
shí lái jí jiě ān	時來即解鞍
shí lái jí kāi kǒu	食來即開口
shí lái jì ruò fēi	時來既若飛
shí lái jí tiān rén	時來極天人
shì lái jiān bié lí	適來兼別離
shí lái jiāng shān chūn	時來江山春
shí lái jiàng yù yú	時來降玉輿
shí lài jiě shì rén	時賴解事人
shí lái jīn zǎo dá	時來矜早達
shí lái kāi jǐng jiāng	時來開井疆
shī lái kǔ xiāng kuān	詩來苦相寬
shí lái kuī fāng zhàng	時來窺方丈
shí lái mìng bù lái	時來命不來
shí lái mìng bú suì	時來命不遂
shì lái míng pèi zhě	適來鳴佩者
shí lái míng wèi zhāng	時來名位彰
shì lái mó qí fēng	事來磨其鋒
shí lài néng rén lì	實賴能仁力
shí lái nóng shì xì	時來農事隙
shí lái qì bēn zǒu	時來憩奔走
shì lái qiān wàn zhǒng	事來千萬種
shí lài qīng xiá wén	石瀨清霞文
shí lái rú huàn dá	時來如宦達
shì lái sān shí zǎi	事來三十載
shí lái shàng qīng míng	時來上青冥
shí lái shí liú jiāo	時來拾流膠
shī lái shǒu zì shū	詩來手自書
shí lái tíng xià xì	時來庭下戲
shí lái tóng yì xiǔ	時來同一宿
shì lái wǎng nán pǔ	適來往南浦
shí lái wèi kě zhī	時來未可知
shī lái wèi mó dǐng	師來為摩頂
shí lái wú zì yí	時來無自疑
shí lái xī pěng rì	時來昔捧日
shí lái xià gù chí	時來下故池
shī lái xiàn qióng zhuàng	詩來獻窮狀
shí lài xiāng bēn chù	石瀨相奔觸
shí lài xiè míng quán	石瀨瀉鳴泉
shì lái xīn dǔ dé	適來新賭得
shí lái yè xuān hòu	時來謁軒後
shí lái yì shǎo xìn	時來亦少信
shí lái yì wǎng hái	時來一往還
shí lái yǐn shān yuè	時來引山月
shǐ lái yóu cǐ xiāng	始來遊此鄉
shí lái yù míng shèng	時來遇明聖
shí lài yuè juān juān	石瀨月娟娟
shí lái zhǎn cái lì	時來展材力
shí lái zhěng liù hé	時來整六翮
shí lái zhōng shèng rén	時來中聖人
shǐ lái zī shān zhōng	始來茲山中
shí lái zì wéi yòng	時來自為用
shì lǎn jìng hú wù	試覽鏡湖物
shí làn qì shā lì	石爛棄沙礫
shí lán xié diǎn bǐ	石闌斜點筆
shī lǎn yóu néng qiáng	詩懶猶能強
shí lán zài yōu zhǔ	蒔蘭在幽渚
shì láng kuà fāng shuò	侍郎跨方朔
shì láng wén chāng gōng	侍郎文昌宮
shì láng wén zhāng zōng	侍郎文章宗
shǐ láng xīn sì sàn	使郎心四散
shì lǎo hú jī quǎn	是老胡雞犬
shī lǎo huāng jīng dū	師老荒京都
shī lǎo jiàng yì guāi	師老將亦乖
shī lǎo yàn fēn yíng	師老厭分營
shǐ lǎo yǒu suǒ zhōng	使老有所終
shī lǎo zī cán kòu	師老資殘寇
shì le fú yī qù	事了拂衣去
shí lè kuī shén zhōu	石勒窺神州
shì le sì yuè kāi	事了似月開
shì le xīn wèi liǎo	事了心未了
shì lèi chū gù fáng	拭淚出故房
shì lěi dá sān gù	釋耒答三顧
shì lèi dài míng jī	拭淚待鳴雞
shī lèi dī yī jīn	失淚滴衣巾
shì lèi duō xíng lù	世累多行路
shì lèi fāng yīn qín	拭淚方殷勤
shì lèi hū jìn lǜ	世累忽進慮
shì lèi jiàn bī rén	世累漸逼人
shì lèi kàn běi dǒu	拭淚看北斗
shì lèi lèi bù shōu	拭淚淚不收
shì lèi pān yáng liǔ	拭淚攀楊柳
shì lèi qiáng xiāng cān	拭淚強相參
shì lèi rú chén jī	世累如塵積
shì lèi tīng yuán tí	拭淚聽猿啼
shì lèi wéi shēn lèi	世累爲身累
shì lèi wú rén jué	拭淚無人覺
shì lèi xià jīn diàn	拭淚下金殿
shì lèi yǐ chán fù	世累已纏縛
shì lèi zhān jīn xuè	拭淚霑襟血
shí lèi zhī jī yǐng	石類支機影
shì lèi zuò chūn fēng	拭淚坐春風
shí lěng tí yuán yǐng	石冷啼猿影
shí lǐ bié jīng xún	十里別經旬
shí lǐ bù tōng jī	十里不通屐
shī lǐ bú wài xué	詩禮不外學
shī lǐ chēng cái zǐ	詩禮稱才子
shí lǐ cì zhōu jí	十里次舟楫
shì lì dié xiāng gān	勢利迭相干
shì lì dú yáng míng	事立獨揚名
shì lì fén hé qì	勢利焚和氣
shí lǐ fǔ jiù bié	十里撫柩別
shì lì fù kāi shū	視歷復開書
shì lì huò zhī mén	勢利禍之門
shí lǐ jiàn zhǎng tíng	十里見長亭
shí lǐ jiàng shān yōu	十里絳山幽
shí lǐ jiè bīn guǎn	十里屆賓館
shì lí jīng zhào bàng	適離京兆謗
shī lǐ kāi hù yǒu	詩禮開戶牖
shì lì kàn jūn tán	侍立看君談
shí lǐ kàn shān guī	十里看山歸
shī lǐ kāng chéng xué	詩禮康成學
shí lì kǔ yīng níng	拾粒苦嚶嚀
shí lì miǎn nèi kuì	食力免內愧
shí lǐ mù lán xiāng	十里木蘭香
shí lǐ qīng huái shàng	十里清淮上
shí lǐ qiū fēng xiāng	十里秋風香
shí lǐ què hū háo	十里卻呼號
shí lǐ shān cūn dào	十里山村道
shí lǐ shǐ tiān míng	十里始天明
shí lǐ sōng fēng jìn	十里嵩峯近
shí lǐ sòng yī xiāng	十里送衣香
shì lì suàn zī zhū	世利算錙銖
shí lǐ suí zhōu xíng	十里隨舟行
shí lǐ wén fēng shēng	十里聞風聲
shī lì wǒ yǐ qū	詩力我已屈
shī lǐ xí yí xùn	詩禮襲遺訓
shí lǐ xiàng běi xíng	十里向北行
shì lì xiāng bēn yè	勢利相奔謁
shì lì xiàng sōng yáng	試吏向嵩陽
shì lì xiǎo tóng qīng	侍立小童清
shí lǐ yì kāi yán	十里一開筵
shí lǐ yì shuāng hòu	十里一雙堠
shī lǐ yì yú bō	詩禮挹餘波
shí lǐ yì zǒu mǎ	十里一走馬
shí lǐ yù cāng cāng	十里鬱蒼蒼
shí lǐ yǔ sēng qī	十里與僧期
shí lǐ zhǎn yīn mù	十里斬陰木
shì lì zhǎng cǎo cǎo	勢利長草草
shì lì zuǒ shuāng fú	試吏佐雙鳧
shí lián bài biǎo qí	時聯拜表騎
shǐ lián jiàn dǐ sè	始憐澗底色
shí lián kāi bì jìng	石奩開碧鏡
shí lián qīng rú kōng	石奩清如空
shí lián shàng lín yàn	時憐上林雁
shí lián shuí bù gān	食蓮誰不甘
shí liáng dù kōng kuàng	石梁度空曠
shí liáng gāo xiè yuè	石梁高瀉月
shí liáng héng jiàn duàn	石梁橫澗斷
shí liáng héng qīng tiān	石梁橫青天
shí liáng píng tǐng tǐng	石梁平侹侹
shí liáng rén bú dào	石梁人不到
shí liáng sǒng qiān jìn	石梁聳千盡
shí liǎng xīn mián hè	十兩新綿褐
shí liáng yíng jiàn zhuǎn	石梁縈澗轉
shì liè cháng yáng xià	侍獵長楊下
shǐ liè gòng shì míng	始列貢士名
shí lín fēi dòng chū	石林飛棟出
shí lín gāo jǐ xǔ	石林高幾許
shí lín hé míng mì	石林何冥密
shí lín hé sōu liú	石林何颼飀
shí lín kǒng wèi fēng	時霖恐未豐
shí lín pán shuǐ fǔ	石林蟠水府
shí lín qì gāo fú	石林氣高浮
shì lín qīng cǎo hú	適臨青草湖
shí lín rào shùn cí	石林繞舜祠
shí lín shàng zǎn cóng	石林上攢叢
shì lín sǒng gū biāo	士林聳孤標
shì lín yì nán qī	士林亦難期
shí lín yīng zhuàn xiǎo	石林鶯囀曉
shī lín zhuō lù xiāng	師臨涿鹿鄉
shí lín zuò yīn shì	時霖作陰事
shí lìng hóng zhì rén	時令弘至仁
shí lìng jù xīn shuǐ	時令具薪水
shì lìng qǔ yì háo	試令取一毫
shí lìng yì fǎn cháng	時令一反常
shí liū dāng míng qiú	石溜當鳴球
shí liù fū zhēng xíng	十六夫徵行
shí liū hé qīng líng	石溜何清泠
shí liù jūn yuǎn xíng	十六君遠行
shí liú qún zhé hóng	石榴裙摺紅
shí liú shàng sòng jīng	時流尚誦經
shī liú shēn hòu míng	詩留身後名
shí liù sòng shī shū	十六誦詩書
shí liú tiān shàng yè	石榴天上葉
shī liú yǎo tiǎo zhāng	詩留窈窕章
shí liú yǒu zhèng sè	石榴有正色
shí liù zhī lǐ yí	十六知禮儀
shí lóu fēn sì huà	石樓紛似畫
shì lóu féng jiǔ zhù	市樓逢酒住
shí lóu qǐ yǒu mén	石樓豈有門
shí lù bǐ shàn rén	實錄彼善人
shì lù bó yán xíng	世路薄言行
shī lù cháng qì juān	失路長棄捐
shì lù chén zhě yě	是陸沉者也
shì lù chéng bēn qiào	世路成奔峭
shí lù chuān xì lǐng	石路穿細嶺
shì lù dōng liú shuǐ	世路東流水
shì lù duō bēi shāng	世路多悲傷
shì lù duō jiān zǔ	世路多艱阻
shì lù duō quán zhà	世路多權詐
shì lù duō xiǎn jiān	世路多險艱
shī lù fǎn zhàn guī	失路反佔龜
shī lù fù hé rú	失路復何如
shí lù fú méi tái	石路拂莓苔
shì lù fù nán wéi	世路婦難為
shì lù hái xiāng jiàn	世路還相見
shī lù hái xiāng jiàn	失路還相見
shí lù hán huā fā	石路寒花發
shì lù jīn tài háng	世路今太行
shì lù jīn yōu yōu	世路今悠悠
shì lù jīn zhāng guì	世祿金張貴
shī lù jīng xī shàng	失路荊溪上
shí lù jiǔ yí shēn	石路九疑深
shì lù juàn yáng cháng	世路倦羊腸
shì lǔ kǒng qiū yǔ	是魯孔丘與
shī lù kuì fáng xián	屍祿愧妨賢
shì lù kùn fēng shā	仕路困風沙
shí lù mǎ hái sī	識路馬還嘶
shī lù má míng míng	失路麻冥冥
shì lù níng jiē bié	世路寧嗟別
shī lù nóng wéi yè	失路農為業
shī lù qīng mén yǐn	失路青門隱
shī lù qíng wú shì	失路情無適
shí lù què shēng chén	石路卻生塵
shì lù rào lóng duàn	市路繞龍斷
shì lù rú qiū fēng	世路如秋風
shī lù rù yān cūn	失路入煙村
shì lù shān hé xiǎn	世路山河險
shí lù shān mù jiāo	石露山木焦
shì lù shǎo yí tǎn	世路少夷坦
shí lù shì duō tóng	實錄事多同
shì lù suī duō gěng	世路雖多梗
shí lù wǎng huí jià	石路枉回駕
shī lù wěi ní shā	失路委泥沙
shí lù wú chén āi	石路無塵埃
shí lù wǔ dīng kāi	石路五丁開
shí lù wú fēi chén	石路無飛塵
shī lù wǔ líng yuán	失路武陵源
shí lù wú rén sǎo	石路無人掃
shì lù xiǎn mèng mén	世路險孟門
shì lù xiǎn yú shān	世路險於山
shī lù xīn mí zhé	失路心彌折
shí lù xíng jiāng jìn	石路行將盡
shí lù xuě chū xià	石路雪初下
shí lù xún sēng qù	石路尋僧去
shí lù yáo cǎo sàn	石路瑤草散
shí lù yì sōng gū	石路一松孤
shī lù yì xiāng bēi	失路一相悲
shì lù yīng nán jìn	世路應難盡
shì lù yǒu qū jìng	世路有趨競
shì lù yǒu qū qū	世路有屈曲
shí lù zài fēng xīn	石路在峯心
shì lù zhī jiāo báo	世路知交薄
shì lù zhǐ rú jūn	世路只如君
shì lù zhòng lù wèi	世路重祿位
shì lù zhòng máng máng	世路重茫茫
shí luàn bù chéng ní	石亂不成泥
shì luàn gǎn qiú ān	世亂敢求安
shì luàn gè dōng xi	世亂各東西
shì luàn jǐ rú lín	世亂戟如林
shì luàn jú wén chǎng	世亂跼文場
shì luàn lián qú xiǎo	世亂憐渠小
shì luàn qīng tǔ yí	世亂輕土宜
shì luàn rú jǐ shī	世亂如蟣蝨
shí luàn shàng yún qì	石亂上雲氣
shì luàn tiān xià yě	是亂天下也
shì luàn tóng nán qù	世亂同南去
shí luàn yì néng qīng	時亂亦能清
shì luàn yú dé yě	是亂於德也
shì luàn zāo piāo dàng	世亂遭飄蕩
shí luàn zhī quán yàn	石亂知泉咽
shì luàn zhòng bēi qín	世亂重悲琴
shì luàn zhōng chén sǐ	世亂忠臣死
shí lùn dé xū míng	時論得虛名
shī lùn duō jiā jù	詩論多佳句
shí lùn huò wèi xǔ	時論或未許
shì lùn shuí gǎi píng	世論誰改評
shí lùn tài sù chū	時論太素初
shí lùn tài wū wú	時論太誣吾
shí lùn yǐ rú chēng	時論以儒稱
shí lùn zì yǒu fū	時論自有夫
shí luó yǐn gǔ màn	石蘿引古蔓
shì lǜ bù céng gàn	世慮不曾幹
shī lǜ dào ā hǔ	詩律到阿虎
shī lǜ dòng qīng shuāng	師律動清霜
shī lǚ dù shān mì	失侶度山覓
shì lǚ gǒu wú jiù	視履苟無咎
shī lǜ hòu chūn guī	師律候春歸
shí lǘ huán zǎo wèi	石閭環藻衛
shī lǜ méng qīn shòu	詩律蒙親授
shì lǘ míng zhǔ ruì	式閭明主睿
shī lǜ qún gōng wèn	詩律羣公問
shì lǜ shāo fù shēng	世慮稍復生
shī lǚ shěn ān wēi	師旅審安危
shì lǜ xiū xiāng rǎo	世慮休相擾
shī lǜ yán hào lìng	詩律嚴號令
shì lǘ zhēn dào zài	式閭真道在
shī lǚ zì āi háo	失侶自哀號
shī lǚ zì tún zhān	失侶自屯邅
shī lǜ zǒng yuán róng	師律總元戎
shì mǎ guò qiū xián	士馬過秋閒
shī mǎ hú gē luàn	溼馬胡歌亂
shì mǎ qì yì cū	士馬氣亦粗
shí mǎ tú zì shī	石馬徒自施
shī mǎ wéi xún yáng	失馬爲尋羊
shí mǎ wò xīn yān	石馬臥新煙
shì mǎ xián yú bù	飾馬閒餘步
shì mǎ xīng tài yuán	士馬興太原
shì mǎ xuè chéng wén	噬馬血成文
shì mǎ yī hóng liè	試馬依紅埒
shì mǎ zhuó yē xī	士馬濯耶溪
shí mài jìn héng gèn	石脈盡橫亙
shì mán bēi jí shǒu	適蠻悲疾首
shī mǎn jīn gǔ yuán	詩滿金谷園
shī mǎn xián yáng shì	屍滿咸陽市
shí máng shēng yào sì	十芒生藥笥
shí mào bù shí cháng	識貌不識腸
shí mǎo hèn cháng gēng	食昴恨長庚
shí méi yíng bǎi kē	蒔梅盈百科
shí mén bào guān rén	石門抱關人
shí mén biàn míng sè	石門變暝色
shí mén dòng gāo yùn	石門動高韻
shí mén kāng lè zhù	石門康樂住
shí mén mèi yān jǐng	石門媚煙景
shí mén pò cāng ǎi	石門破蒼靄
shí mén qiān rèn duàn	石門千仞斷
shí mén qīng chóng chóng	石門青重重
shí mén rì sè yì	石門日色異
shí mén shū huō xiǎn	石門殊豁險
shí mén shuāng lù bái	石門霜露白
shí mén sǒng qiào jué	石門聳峭絕
shí mén tǔ míng yuè	石門吐明月
shí mén tūn zhòng liú	石門吞衆流
shí mén wú jiù jìng	石門無舊徑
shì mén xíng qīng qú	市門行清渠
shí mén xuě yún ài	石門雪雲隘
shí mén yǒu yú hǎo	石門有餘好
shí mén yún wò jiǔ	石門雲臥久
shì mén zhú qián méi	市門逐乾沒
shì mén zì kuā pí	市門自誇毗
shí mén zuì kě guān	石門最可觀
shí mèng bì jī fāng	時夢碧雞坊
shǐ méng dòng xīn xù	始萌動新煦
shí méng shuāng lǐ yú	時蒙雙鯉魚
shí méng tǔ jiā jù	時蒙吐佳句
shí méng zhì bái láo	時蒙致白醪
shí mì huà luó jiǎ	石蜜化螺甲
shì mì lǎo liú kàn	試覓老劉看
shì mì xìng páng rén	試覓姓龐人
shí mì yǔ shì shuāng	石密與柿霜
shí mián cháng bǎi yōu	食眠常百憂
shī miàn chūn yǔ xì	溼面春雨細
shǐ mín bú wèi dào	使民不為盜
shǐ mín jiē nóng sāng	使民皆農桑
shì mín shòu zhī yě	是民受之也
shǐ mín xīn bú luàn	使民心不亂
shǐ mín zuò zōu lǔ	使民作鄒魯
shī míng cǎo shèng yú	詩鳴草聖餘
shí míng chūn jiàn zhōng	時鳴春澗中
shí mìng dà miù yě	時命大謬也
shī míng èr shí nián	詩名二十年
shí mìng huò dà móu	時命或大繆
shì míng liáng zì qiān	世名良自牽
shī míng mǎn shì jiān	詩名滿世間
shī míng mǎn tiān xià	詩名滿天下
shí mìng nǎi dà miù	時命乃大謬
shí mìng nán zì zhī	時命難自知
shí mìng rì cuō tuó	時命日蹉跎
shí míng rú guà jìng	石明如掛鏡
shí mìng ruò bù huì	時命若不會
shí mìng shǐ yù lái	時命始欲來
shī míng tú zì zhèn	詩名徒自振
shī míng wéi wǒ gòng	詩名惟我共
shì míng xīn bù sī	世名心不思
shí míng xuán jiàn bì	石銘懸劍壁
shí mìng yù hé yán	時命欲何言
shí míng yù xiāng jù	時明鬱相拒
shì mò shū xīn zhú	試墨書新竹
shǐ mó zài miào táng	矢謨在廟堂
shǐ móu shuí qí jiān	始謀誰其間
shī móu zé lèi rén	師謀擇累仁
shǐ mù chén fù xiào	始慕陳婦孝
shī mǔ fèng chú chī	失母鳳雛癡
shí mǔ sēn sì shù	十畝森似束
shǐ mù shé wéi róu	始慕舌爲柔
shí mǔ tuán yōu yīn	十畝團幽陰
shì mù wàng zhāi guǎn	拭目望齋館
shì mù xíng gē guī	視暮行歌歸
shì mù yǎng shèng dé	拭目仰盛德
shí mǔ yú xiā huì	十畝魚蝦會
shí mǔ zhī jiān xī	十畝之間兮
shí mǔ zhī wài xī	十畝之外兮
shì nǎi rén shù yě	是乃仁術也
shì nǎi yì piáo kōng	室乃一瓢空
shì nán cháng cuī dí	世難常摧敵
shí nán chǐ xī jī	時難恥息機
shì nán chóu guī lù	世難愁歸路
shí nán fǎng qīn qi	時難訪親戚
shì nán jī zhōng cháng	世難激中腸
shì nán pō cún zhōu	釋難頗存周
shí nán rěn xiāng wéi	時難忍相違
shí nán shēn yè lǐ	石楠深葉裏
shí nán shí zhōng zhēn	時難識忠貞
shì nán tíng yì zhōu	勢難停一州
shí nán xī xiāng wéi	時難惜相違
shì nán yōng gān yè	世難慵幹謁
shí nán zì duō wù	時難自多務
shǐ néng chóng jié gòu	始能崇結構
shí néng diǎn kè yī	時能點客衣
shī néng jì jí líng	詩能繼鶺鴒
shí néng zài jiǔ guò	時能載酒過
shì nǐ chóu ēn dé	誓擬酬恩德
shǐ nǐ jìn guī zhōu	始擬進歸舟
shí ní jìn tǔ yá	食泥近土涯
shí nián bà xī xiào	十年罷西笑
shí nián bì diāo qiú	十年弊貂裘
shí nián bié huāng cūn	十年別荒村
shí nián bié xiāng xiàn	十年別鄉縣
shí nián bù dé yì	十年不得意
shí nián bù huán xiāng	十年不還鄉
shí nián bù xù zé	十年不蓄幘
shí nián bù yī zhǎn	十年不一展
shí nián cāo máo jǐ	十年操矛戟
shí nián céng lǚ yù	十年曾旅寓
shí nián céng yì bié	十年曾一別
shí nián chàng jiā fù	十年倡家婦
shí nián cháng kǔ xué	十年常苦學
shí nián cháng yuǎn dào	十年常遠道
shí nián chén tǔ kū	十年塵土窟
shí nián chén yòu zhí	十年塵右職
shí nián chí hàn jié	十年持漢節
shí nián chū mù fǔ	十年出幕府
shí nián cǐ zhōng guò	十年此中過
