liú zhēn	劉楨
liú zhòng	劉仲
lóu yè	婁燁
lù áo	陸翱
lù chuān	陸川
lù hào	陸昊
lù jī	陸機
lù jì	陸績
lù jiǎ	陸賈
lǔ jiǒng	魯炅
lù kāng	陸慷
lù kāng	陸康
lù kàng	陸抗
lù lěi	陸磊
lù qí	陸奇
lù ruì	陸叡
lù yā	陸壓
lù yǐ	陸扆
lù yóu	陸游
lù yǔ	陸羽
lù yún	陸雲
lù zhōng	陸終
luó běn	羅本
luó dān	羅丹
luó fū	羅敷
luó jīng	羅京
luó lán	羅蘭
luó lín	羅琳
luó màn	羅曼
luó sù	羅素
lǚ bù	呂布
lǚ gōng	呂公
lǚ hòu	呂后
lǚ jiā	呂嘉
lǚ kè	呂克
lǚ lín	呂林
lǚ méng	呂蒙
lǚ shàng	呂尚
lǚ wèi	呂渭
lǚ wēn	呂溫
lǚ yì	呂乂
lǚ yuè	呂岳
lǚ zhì	呂雉
lǚ zǔ	呂祖
mǎ dài	馬岱
mǎ dài	馬戴
mǎ dēng	馬登
mǎ ēn	馬恩
mǎ fāng	馬芳
mǎ féng	馬逢
mǎ gāng	馬鋼
mǎ hàn	馬漢
mǎ jiàn	馬建
mǎ kǎi	馬凱
mǎ lè	馬勒
mǎ lín	馬林
mǎ lín	馬麟
mǎ lóng	馬隆
mǎ míng	馬鳴
mǎ nài	馬奈
mǎ róng	馬融
mǎ sù	馬謖
mǎ tài	馬太
mǎ wáng	馬王
mǎ wǔ	馬武
mǎ yīn	馬殷
mǎ yuán	馬原
mǎ yuán	馬援
mǎ yuǎn	馬遠
mǎ yún	馬雲
mǎ zhōng	馬忠
mǎ zhōu	馬周
mǎ zǔ	馬祖
máo níng	毛寧
mèng chǎng	孟昶
mèng chí	孟遲
mèng dé	孟德
mèng gǒng	孟珙
mèng guàn	孟貫
mèng guāng	孟光
mèng huò	孟獲
mèng jiǎn	孟簡
mèng jiāo	孟郊
mèng kāng	孟康
mèng kē	孟軻
mèng liáng	孟良
mèng mǔ	孟母
mèng qǐ	孟起
mèng sēn	孟森
mèng yōu	孟優
mèng zǐ	孟子
mèng zōng	孟宗
miào bīn	繆斌
mù dàn	穆旦
mù dí	穆迪
mù gōng	穆公
mù qīng	穆青
mù shèng	穆聖
mù wáng	穆王
mù zōng	穆宗
ní kuāng	倪匡
ní píng	倪萍
niè ěr	聶耳
niè fēng	聶風
