shū luǎn guǎn ái	输卵管癌
yān bù fēn qiē chú shù	咽部分切除术
yán cháng jiē guǎn jìng mài	延长接管静脉
yǎn dòng mài dòng mài liú	眼动脉动脉瘤
yǎn è xìng lín bā liú	眼恶性淋巴瘤
yǎn gān zào zōng hé zhēng	眼干燥综合征
yǎn gǒng mó zhī chí shù	眼巩膜支持术
yàn gǔ guǎn kāi fàng zhèng	咽鼓管开放症
yàn gǔ guǎn kuò zhāng shù	咽鼓管扩张术
yàn gǔ guǎn tōng qì shù	咽鼓管通气术
yàn gǔ guǎn zài zào shù	咽鼓管再造术
yǎn guī jiāo chāi chú shù	眼硅胶拆除术
yǎn guī jiāo qǔ chū shù	眼硅胶取出术
yàn hòu jǐ chéng xíng shù	咽后嵴成形术
yǎn jī jiàn qiē duàn shù	眼肌腱切断术
yǎn jiǎn dài zhuàng pào zhěn	眼睑带状疱疹
yǎn jiǎn è xìng zhǒng liú	眼睑恶性肿瘤
yǎn jiǎn fēng wō zhī yán	眼睑蜂窝织炎
yǎn jiǎn liáng xìng zhǒng liú	眼睑良性肿瘤
yǎn jiǎn yuán féng hé shù	眼睑缘缝合术
yǎn jiǎn zhòu zhé jī xíng	眼睑绉折畸形
yǎn jié mó lěng dòng shù	眼结膜冷冻术
yàn kāi fàng xìng shāng kǒu	咽开放性伤口
yǎn kāi fàng xìng wài shāng	眼开放性外伤
yǎn kuàng jì shēng chóng bìng	眼眶寄生虫病
yàn náng zhǒng zōng hé zhēng	咽囊肿综合征
yǎn nǎo shèn zōng hé zhēng	眼脑肾综合征
yǎn nèi qū guāng shǒu shù	眼内屈光手术
yǎn nèi róng zhāi chú shù	眼内容摘除术
yǎn pí fū bái huà bìng	眼皮肤白化病
yàn qì shì qiē chú shù	咽憩室切除术
yǎn qián duàn chóng jiàn shù	眼前段重建术
yǎn qián fáng chéng xíng shù	眼前房成形术
yǎn qián fáng chuān cì shù	眼前房穿刺术
yǎn qián fáng zhù qì shù	眼前房注气术
yǎn qiú hòu xuè guǎn liú	眼球后血管瘤
yǎn qiú hòu zhù shè shù	眼球后注射术
yǎn qiú nèi zhù qì shù	眼球内注气术
yǎn quē xuè zōng hé zhēng	眼缺血综合征
yàn ruǎn è chéng xíng shù	咽软鄂成形术
yàn shén jīng guān néng zhèng	咽神经官能症
yán suǐ shù qiē duàn shù	延髓束切断术
yǎn tóng xiè chén zhuó bìng	眼铜屑沉着病
yǎn wài jī huó jiǎn shù	眼外肌活检术
yǎn wài jī tàn chá shù	眼外肌探查术
yǎn xiǎo liáng qiē chú shù	眼小梁切除术
yán xìng duō guān jié bìng	炎性多关节病
yán xìng duō shén jīng bìng	炎性多神经病
yǎn xíng gé lín shì bìng	眼型格林氏病
yán xìng gēn páng náng zhǒng	炎性根旁囊肿
yàn yǎng jūn xìng fèi yán	厌氧菌性肺炎
yàn yì wù qǔ chū shù	咽异物取出术
yán zǎo táng chén jī bìng	岩藻糖沉积病
yàn zhān lián sōng jiě shù	咽粘连松解术
yǎn zhēn pí tián sāi shù	眼真皮填塞术
yàn zhǒng liú qiē chú shù	咽肿瘤切除术
yàn zhǒng wù qiē chú shù	咽肿物切除术
yǎn zhǒng wù qiē chú shù	眼肿物切除术
yǎn zì hòu tiān jī xíng	眼眦后天畸形
yáng mó dài zōng hé zhēng	羊膜带综合征
yáng mó qiāng chuān cì shù	羊膜腔穿刺术
yáng shuǐ jié jīng jiǎn chá	羊水结晶检查
yāo dǐ shén jīng gēn bìng	腰骶神经根病
yāo dǐ shén jīng gēn yán	腰骶神经根炎
yāo jiān pán tū chū zhèng	腰间盘突出症
yāo zhuī è xìng zhǒng liú	腰椎恶性肿瘤
yāo zhuī guǎn xiá zhǎi zhèng	腰椎管狭窄症
yè huà shí yóu qì guǎn	液化石油气管
yè huà xìng zhī mó yán	液化性脂膜炎
yè wō lín bā jié yán	腋窝淋巴结炎
yí bāo mó sōng jiě shù	胰包膜松解术
yí bìng xìng shén jīng zhèng	疑病性神经症
yí bìng zhèng zōng hé zhēng	疑病症综合征
yí bù fèn qiē chú shù	胰部分切除术
yì cháng dú xìng jiǎn chá	异常毒性检查
yí cháng guǎn wěn hé shù	胰肠管吻合术
yí chuán xìng bìng zhǐ zhèng	遗传性并指症
yí chuán xìng shén jīng bìng	遗传性神经病
yí dǎn guǎn zào yǐng shù	胰胆管造影术
yí dǎo è xìng zhǒng liú	胰岛恶性肿瘤
yí dǎo liáng xìng zhǒng liú	胰岛良性肿瘤
yí dǎo xì bāo kàng tǐ	胰岛细胞抗体
yí dǎo xì bāo xiàn ái	胰岛细胞腺癌
yí dǎo xì bāo xiàn liú	胰岛细胞腺瘤
yí dǎo xì bāo yí zhí	胰岛细胞移植
yí dǎo xì bāo zēng shēng	胰岛细胞增生
yí dǎo zǔ zhī yìng huà	胰岛组织硬化
yì è wō zōng hé zhēng	翼腭窝综合征
yí jì xìng zhōng ěr yán	遗迹性中耳炎
yí kōng cháng wěn hé shù	胰空肠吻合术
yī lài xìng gōu lóu bìng	依赖性佝偻病
yí lòu guǎn qiē chú shù	胰瘘管切除术
yì miáo hé zì bì zhèng	疫苗和自闭症
yí quán bù qiē chú shù	胰全部切除术
yì sè xìng hóng mó yán	异色性虹膜炎
yì sè xìng pí jī yán	异色性皮肌炎
yí shí guǎn wěn hé shù	胰食管吻合术
yí sì xīn guān fèi yán	疑似新冠肺炎
yí tǐ è xìng zhǒng liú	胰体恶性肿瘤
yì tǐ pí yí zhí shù	异体皮移植术
yì tǐ shèn yí zhí shù	异体肾移植术
yí tǐ wěi qiē chú shù	胰体尾切除术
yí tóu è xìng zhǒng liú	胰头恶性肿瘤
yì wài jī bō lí shù	翼外肌剥离术
yí wàng xìng zōng hé zhēng	遗忘性综合征
yí wěi è xìng zhǒng liú	胰尾恶性肿瘤
yì wèi gǔ qiē chú shù	异位骨切除术
yǐ wú shēng mìng tǐ zhēng	已无生命体征
yì wù xìng ròu yá zhǒng	异物性肉芽肿
yǐ xiān cù àn zhòng dú	乙酰醋胺中毒
yí xiàn è xìng zhǒng liú	胰腺恶性肿瘤
yí xiàn jiǎ xìng náng zhǒng	胰腺假性囊肿
yí xiàn liáng xìng zhǒng liú	胰腺良性肿瘤
yí xiàn tóng zhǒng yí zhí	胰腺同种移植
yí xiàn xìng fù mó yán	胰腺性腹膜炎
yí xiàn xīng xíng xì bāo	胰腺星形细胞
yí xiàn yì zhǒng yí zhí	胰腺异种移植
yí xiàn yín jiā dìng wèi	胰腺银夹定位
yí xiàn zhōu wéi nóng zhǒng	胰腺周围脓肿
yì xíng hóng xì bāo zhèng	异形红细胞症
yì xíng lín bā xì bāo	异型淋巴细胞
yí xíng xìng yòu chóng bìng	移行性幼虫病
yì xíng zhān duō táng bìng	异型粘多糖病
yì yǎn tái dǎ kǒng shù	义眼台打孔术
yì yǎn tāi zhí rù shù	义眼胎植入术
yì yǎn zuò xiū bǔ shù	义眼座修补术
yì yù xìng jīng shén bìng	抑郁性精神病
yì yù xìng shén jīng zhèng	抑郁性神经症
yī yuán tǐ fù mó yán	衣原体腹膜炎
yī yuán tǐ jié mó yán	衣原体结膜炎
yī yuán tǐ xìng fèi yán	衣原体性肺炎
yī yuán xìng duō máo zhèng	医源性多毛症
yī yuán xìng táng niào bìng	医源性糖尿病
yì zhèng xìng jiān mò zhèng	癔症性缄默症
yì zhèng xìng jīng shén bìng	癔症性精神病
yì zhèng xìng wǔ dǎo bìng	癔症性舞蹈病
yí zhí shèn qiē chú shù	移植肾切除术
yí zhí shèn tàn chá shù	移植肾探查术
yí zhí shèn xiū bǔ shù	移植肾修补术
yí zhí yí yí xiàn yán	移植胰胰腺炎
yì zhǒng gǔ yí zhí shù	异种骨移植术
yì zhǒng pí yí zhí shù	异种皮移植术
yì zhǒng yá yí zhí shù	异种牙移植术
yǐ zhuàng dòu hòu rù lù	乙状窦后入路
yǐ zhuàng dòu qián rù lù	乙状窦前入路
yǐ zhuàng jié cháng dòng mài	乙状结肠动脉
yǐ zhuàng jié cháng jìng mài	乙状结肠静脉
yǐ zhuàng jié cháng niǔ zhuǎn	乙状结肠扭转
yǐ zhuàng jié cháng páng guāng	乙状结肠膀胱
yǐ zhuàng jié cháng xì mó	乙状结肠系膜
yǐ zhuàng jié cháng xiá zhǎi	乙状结肠狭窄
yì zhuàng nǔ ròu shǒu shù	翼状胬肉手术
yǐn bì xìng rǔ tū yán	隐蔽性乳突炎
yīn dào è xìng zhǒng liú	阴道恶性肿瘤
yīn dào gé qiē kāi shù	阴道隔切开术
yīn dào jǐn suō shǒu shù	阴道紧缩手术
yīn dào jìng jiǎn chá shù	阴道镜检查术
yīn dào liáng xìng zhǒng liú	阴道良性肿瘤
yīn dào lòu xiū bǔ shù	阴道瘘修补术
yīn dào máo dī chóng bìng	阴道毛滴虫病
yīn dào niàn zhū jūn bìng	阴道念珠菌病
yīn dào páng lín bā jié	阴道旁淋巴结
yīn dào quán qiē chú shù	阴道全切除术
yīn dì bèi qiǎn jìng mài	阴蒂背浅静脉
yīn dì bèi shēn jìng mài	阴蒂背深静脉
yǐn gāo è xìng zhǒng liú	隐睾恶性肿瘤
yīn jīng ā mǐ bā bìng	阴茎阿米巴病
yīn jīng bāo hán náng zhǒng	阴茎包涵囊肿
yīn jīng bèi qiǎn jìng mài	阴茎背浅静脉
yīn jīng bèi shēn jìng mài	阴茎背深静脉
yīn jīng fàng xiàn jūn bìng	阴茎放线菌病
yīn jīng hǎi mián tǐ yán	阴茎海绵体炎
yīn jīng hēi sè sù liú	阴茎黑色素瘤
yǐn jìng mài jié zā shù	隐静脉结扎术
yǐn jìng mài qiē kāi shù	隐静脉切开术
yīn jīng pí yàng náng zhǒng	阴茎皮样囊肿
yīn jīng qū qū jī xíng	阴茎屈曲畸形
yīn jīng quán qiē chú shù	阴茎全切除术
yīn jīng tóu bái bān bìng	阴茎头白斑病
yīn jīng xià wān jī xíng	阴茎下弯畸形
yīn náng fàng xiàn jūn bìng	阴囊放线菌病
yīn náng fēng wō zhī yán	阴囊蜂窝织炎
yīn náng gāo wán shǒu shù	阴囊睾丸手术
yīn náng jiǎo huà náng zhǒng	阴囊角化囊肿
yīn náng jìng mài qǔ zhāng	阴囊静脉曲张
yǐn qiú jūn xìng nǎo yán	隐球菌性脑炎
yǐn shí xìng wèi cháng yán	饮食性胃肠炎
yín xiè bìng guān jié yán	银屑病关节炎
yín xiè bìng xìng shèn yán	银屑病性肾炎
yīng ér qiào mó jī yè	婴儿鞘膜积液
yīng ér zhī qì guǎn yán	婴儿支气管炎
yíng guāng zhī qì guǎn jìng	荧光支气管镜
yìng huà xìng dǎn guǎn yán	硬化性胆管炎
yìng huà xìng fù mó yán	硬化性腹膜炎
yìng huà xìng gǔ suǐ yán	硬化性骨髓炎
yìng huà xìng jiān zhì liú	硬化性间质瘤
yìng huà xìng jiǎo mó yán	硬化性角膜炎
yìng huà xìng jīn mó yán	硬化性筋膜炎
yìng huà xìng pí jī yán	硬化性皮肌炎
yìng huà xìng xuè guǎn liú	硬化性血管瘤
yìng huà xìng zhī mó yán	硬化性脂膜炎
yìng jǐ mó wài nóng zhǒng	硬脊膜外脓肿
yìng jǐ mó wài xuè zhǒng	硬脊膜外血肿
yìng jǐ mó xià nóng zhǒng	硬脊膜下脓肿
yìng jǐ mó xià xuè zhǒng	硬脊膜下血肿
yìng jī xìng táng niào bìng	应激性糖尿病
yìng mó liáng xìng zhǒng liú	硬膜良性肿瘤
yìng mó nèi zhī fáng liú	硬膜内脂肪瘤
yìng mó wài xuè guǎn liú	硬膜外血管瘤
yìng mó wài zhī fáng liú	硬膜外脂肪瘤
yìng mó xià nǎo nóng zhǒng	硬膜下脑脓肿
yìng nǎo mó wài xuè zhǒng	硬脑膜外血肿
yìng nǎo mó xià shuǐ liú	硬脑膜下水瘤
yìng nǎo mó xià xuè zhǒng	硬脑膜下血肿
yíng yǎng xìng xīn jī bìng	营养性心肌病
yíng yǎng xìng zhū rú zhèng	营养性侏儒症
yìng zhì zhī qì guǎn jìng	硬质支气管镜
yīng zuǐ nián yè náng yán	鹰嘴黏液囊炎
yōng qiē kāi yǐn liú shù	痈切开引流术
yòng yào bù wèi shuǐ zhǒng	用药部位水肿
yòu fèi è xìng zhǒng liú	右肺恶性肿瘤
yóu jī zhě zōng hé zhēng	游击者综合征
yòu jiǎ zhuàng xiàn sù nà	右甲状腺素钠
yòu jié cháng lín bā jié	右结肠淋巴结
yòu lèi jiān shàng jìng mài	右肋间上静脉
yóu lí jiǎ zhuàng xiàn sù	游离甲状腺素
yōu mén è xìng zhǒng liú	幽门恶性肿瘤
yōu mén hòu lín bā jié	幽门后淋巴结
yōu mén jī qiē kāi shù	幽门肌切开术
yōu mén luó gǎn jūn bìng	幽门螺杆菌病
yōu mén shàng lín bā jié	幽门上淋巴结
yōu mén shī chí huǎn zhèng	幽门失弛缓症
yōu mén xià lín bā jié	幽门下淋巴结
yòu nián xiān wéi xiàn liú	幼年纤维腺瘤
yòu nián xíng gǔ hóu yán	幼年型骨骺炎
yòu nián xíng gǔ tū yán	幼年型骨突炎
yòu nián xíng guān jié yán	幼年型关节炎
yòu nián xìng huáng sè liú	幼年性黄色瘤
yòu nián xíng táng niào bìng	幼年型糖尿病
yòu shèn shàng xiàn jìng mài	右肾上腺静脉
yǒu suǐ shén jīng xiān wéi	有髓神经纤维
yòu suǒ gǔ xià jìng mài	右锁骨下静脉
yòu xīn dǎo guǎn jiǎn chá	右心导管检查
yòu xīn ěr pò mó shù	右心耳破膜术
yòu xīn shēng xué zào yǐng	右心声学造影
yòu xuán jiǎ zhuàng xiàn sù	右旋甲状腺素
yóu yǒng chí jié mó yán	游泳池结膜炎
yóu yǒng chí ròu yá zhǒng	游泳池肉芽肿
yòu zhī qì guǎn fèi ái	右支气管肺癌
yóu zhuàng rǔ tóu zhuàng liú	疣状乳头状瘤
yóu zhuàng wèi wèi dòu yán	疣状胃胃窦炎
yù fáng cháng dào jí bìng	预防肠道疾病
yù fáng jié zhí cháng ái	预防结直肠癌
yù fáng qián liè xiàn yán	预防前列腺炎
yù fáng shǒu zú kǒu bìng	预防手足口病
yù fáng tāi ér jī xíng	预防胎儿畸形
yù fáng xīn xuè guǎn bìng	预防心血管病
yū jī xìng dǎn guǎn yán	淤积性胆管炎
yù jiàn hán bīng liè yán	御剑寒冰烈炎
yuǎn duān wèi qiē chú shù	远端胃切除术
yuán fā xìng fù mó yán	原发性腹膜炎
yuán fā xìng guān jié bìng	原发性关节病
yuán fā xìng hàn xiàn ái	原发性汗腺癌
yuǎn gǔ fēng yìn zhī yán	远古封印之炎
yuán rèn dài suō duǎn shù	圆韧带缩短术
yuán rèn dài xuán diào shù	园韧带悬吊术
yuán rèn dài xuán diào shù	圆韧带悬吊术
yuán wèi hēi sè sù liú	原位黑色素瘤
yuán zǐ shù cí gòng zhèn	原子束磁共振
yuè jīng qián zōng hé zhēng	月经前综合征
yùn dòng shén jīng yuán bìng	运动神经元病
zài pōu fù tàn chá shù	再剖腹探查术
zàng fǔ jiān bìng biàn zhèng	脏腑兼病辨证
zàng qì shēng xué zào yǐng	脏器声学造影
zào kuáng xíng jīng shén bìng	躁狂型精神病
zǎo shú xìng jù gāo zhèng	早熟性巨睾症
zào yòu xì bāo ròu liú	造釉细胞肉瘤
zào yòu xì bāo yá liú	造釉细胞牙瘤
zēng shēng xìng dǎn náng yán	增生性胆囊炎
zēng shēng xìng nóng pí bìng	增生性脓皮病
zēng shēng xíng tiān pào chuāng	增生型天疱疮
zēng shēng xìng yá yín yán	增生性牙龈炎
zēng zhí tǐ guā chú shù	增殖体刮除术
zēng zhí tǐ qiē chú shù	增殖体切除术
zēng zhí xìng nóng pí bìng	增殖性脓皮病
zēng zhí xìng páng guāng yán	增殖性膀胱炎
zhā pèi shì zōng hé zhēng	扎佩氏综合征
zhān duō táng zhù jī bìng	粘多糖贮积病
zhān duō táng zhù jī zhèng	粘多糖贮积症
zhān lián xìng fù mó yán	粘连性腹膜炎
zhān lián xìng jī jiàn yán	粘连性肌腱炎
zhān lián xìng jiàn qiào yán	粘连性腱鞘炎
zhān lián xìng jiān zhōu yán	粘连性肩周炎
zhān lián xìng jiǎo mó yán	粘连性角膜炎
zhān lián xìng xīn bāo yán	粘连性心包炎
zhān lián xìng zhōng ěr yán	粘连性中耳炎
zhǎng cán duān xiū zhěng shù	掌残端修整术
zhǎng cháng jī qiè qǔ shù	掌长肌切取术
zhǎng gǔ liáng xìng zhǒng liú	掌骨良性肿瘤
zhǎng gǔ tóu jiān jìng mài	掌骨头间静脉
zhǎng jiàn mó qiē chú shù	掌腱膜切除术
zhǎng jiàn mó qiē kāi shù	掌腱膜切开术
zhǎng jīn mó luán suō zhèng	掌筋膜挛缩症
zhǎng zhí xiān wéi liú bìng	掌跖纤维瘤病
zhǎo xíng zhǐ xiū bǔ shù	爪形趾修补术
zhěn dà chí chuān cì shù	枕大池穿刺术
zhěn dà kǒng kuò dà shù	枕大孔扩大术
zhèn dòng xìng xún má zhěn	震动性荨麻疹
zhěn duàn xìng guā gōng shù	诊断性刮宫术
zhèn fā xìng jù tòng zhèng	阵发性剧痛症
zhēn jūn tú piàn jiǎn chá	真菌涂片检查
zhēn jūn xìng bí dòu yán	真菌性鼻窦炎
zhēn jūn xìng jiǎo mó yán	真菌性角膜炎
zhēn jūn xìng kǒu jué yán	真菌性口角炎
zhēn jūn xìng nǎo mó yán	真菌性脑膜炎
zhēn pí nèi dǎo guǎn liú	真皮内导管瘤
zhēn xìng liǎng xìng jī xíng	真性两性畸形
zhēn xìng yí xiàn náng zhǒng	真性胰腺囊肿
zhěn yè è xìng zhǒng liú	枕叶恶性肿瘤
zhèng diàn zǐ chéng xiàng shù	正电子成象术
zhěng róng de hòu yí zhèng	整容的后遗症
zhèng yā niào dào zào yǐng	正压尿道造影
zhèng yuán xíng bǐ kāng zhěn	正圆形秕糠疹
zhèng zhōng líng xíng shé yán	正中菱形舌炎
zhèng zhōng shén jīng duàn liè	正中神经断裂
zhèng zhōng shén jīng fǎn zhī	正中神经返支
zhèng zhōng shén jīng sǔn hài	正中神经损害
zhèng zhōng shén jīng sǔn shāng	正中神经损伤
zhèng zhōng shén jīng wěn shù	正中神经吻术
zhèng zhōng shén jīng zhǎng zhī	正中神经掌支
zhèng zhuàng xìng féi pàng zhèng	症状性肥胖症
zhèng zhuàng xìng jīng shén bìng	症状性精神病
zhǐ bù jiǎ sè hàn zhèng	趾部假色汉症
zhǐ cán duān xiū zhěng shù	指残端修整术
zhǐ cán duān xiū zhěng shù	趾残端修整术
zhí cháng ái gēn zhì shù	直肠癌根治术
zhí cháng dài páng guāng shù	直肠代膀胱术
zhí cháng è xìng zhǒng liú	直肠恶性肿瘤
zhí cháng gāng mén shǒu shù	直肠肛门手术
zhí cháng jìng mài qǔ zhāng	直肠静脉曲张
zhí cháng kè lóng shì bìng	直肠克隆氏病
zhí cháng liáng xìng zhǒng liú	直肠良性肿瘤
zhí cháng lín bā xì tǒng	直肠淋巴系统
zhí cháng páng guāng xiàn āo	直肠膀胱陷凹
zhí cháng páng lín bā jié	直肠旁淋巴结
zhí cháng píng huá jī liú	直肠平滑肌瘤
zhí cháng qián qiē chú shù	直肠前切除术
zhí cháng shàng lín bā jié	直肠上淋巴结
zhí cháng zhōu wéi nóng zhǒng	直肠周围脓肿
zhī chēng hóu jìng jiǎn chá	支撑喉镜检查
zhí dá hóu jìng jiǎn chá	直达喉镜检查
zhī fáng diàn qiē chú shù	脂肪垫切除术
zhī fáng liú qiē chú shù	脂肪瘤切除术
zhī fáng ròu yá zhǒng bìng	脂肪肉芽肿病
zhǐ fēng wō zǔ zhī yán	指蜂窝组织炎
zhǐ gǔ è xìng zhǒng liú	指骨恶性肿瘤
zhǐ gǔ è xìng zhǒng liú	趾骨恶性肿瘤
zhí gǔ jiān shén jīng liú	跖骨间神经瘤
zhǐ gǔ liáng xìng zhǒng liú	指骨良性肿瘤
zhǐ gǔ liáng xìng zhǒng liú	趾骨良性肿瘤
zhí gǔ tóu jiān jìng mài	跖骨头间静脉
zhí gǔ tóu jié duàn shù	跖骨头截断术
zhí gǔ tóu qiē chú shù	跖骨头切除术
zhǐ guān jié chéng xíng shù	指关节成形术
zhǐ guān jié jǐn suō shù	指关节紧缩术
zhǐ guān jié jìng jiǎn chá	指关节镜检查
zhǐ guān jié jìng jiǎn chá	趾关节镜检查
zhǐ guān jié lí duàn shù	趾关节离断术
zhǐ guān jié róng hé shù	指关节融合术
zhǐ guān jié róng hé shù	趾关节融合术
zhǐ guān jié zhì huàn shù	指关节置换术
zhǐ jia pí zhēn jūn bìng	指甲皮真菌病
zhì jiǎ zhuàng xiàn zhǒng wù	致甲状腺肿物
zhí jiàn mó qiē duàn shù	跖腱膜切断术
zhǐ jīn mó qiē duàn shù	趾筋膜切断术
zhí jīn mó qiē duàn shù	跖筋膜切断术
zhǐ jīn mó sōng jiě shù	趾筋膜松解术
zhí jīn mó sōng jiě shù	跖筋膜松解术
zhǐ kāi fàng xìng shāng kǒu	趾开放性伤口
zhì liáo biǎn táo tǐ yán	治疗扁桃体炎
zhì liáo hēi sè sù liú	治疗黑色素瘤
zhì liáo qián liè xiàn yán	治疗前列腺炎
zhì liáo zhī qì guǎn yán	治疗支气管炎
zhī lòu xìng pí fū yán	脂漏性皮肤炎
zhì mǐn lín bā xì bāo	致敏淋巴细胞
zhī qì guǎn chéng xíng shù	支气管成形术
zhī qì guǎn chōng yíng zhēng	支气管充盈征
zhī qì guǎn cuò gòu liú	支气管错构瘤
zhī qì guǎn diàn níng fǎ	支气管电凝法
zhī qì guǎn diàn níng shù	支气管电凝术
zhī qì guǎn hū xī yīn	支气管呼吸音
zhī qì guǎn jié shí zhèng	支气管结石症
zhī qì guǎn jié zā shù	支气管结扎术
zhī qì guǎn jìng jiǎn chá	支气管镜检查
zhī qì guǎn kuò zhāng shù	支气管扩张术
zhī qì guǎn kuò zhāng yào	支气管扩张药
zhī qì guǎn kuò zhāng zhèng	支气管扩张症
zhī qì guǎn nèi chā guǎn	支气管内插管
zhī qì guǎn nèi chū xiě	支气管内出血
zhī qì guǎn nèi má zuì	支气管内麻醉
zhī qì guǎn nèi zāng lòu	支气管内脏瘘
zhī qì guǎn nèi zhù yào	支气管内注药
zhī qì guǎn ruǎn gǔ liú	支气管软骨瘤
zhī qì guǎn shí guǎn jī	支气管食管肌
zhī qì guǎn shū zhāng jì	支气管舒张剂
zhī qì guǎn xīn shēng wù	支气管新生物
zhī qì guǎn xiōng mó lòu	支气管胸膜瘘
zhī qì guǎn xiū bǔ shù	支气管修补术
zhī qì guǎn yán ké sòu	支气管炎咳嗽
zhī qì guǎn yán màn xìng	支气管炎慢性
zhī qì guǎn yuán wèi ái	支气管原位癌
zhī qì guǎn zào kǒu shù	支气管造口术
zhī qì guǎn zhī fáng liú	支气管脂肪瘤
zhī qì guǎn zhōu wéi yán	支气管周围炎
zhì qiē chú fèng zhā shù	痔切除缝扎术
zhǐ rèn dài sōng jiě shù	指韧带松解术
zhǐ shén jīng sōng jiě shù	指神经松解术
zhǐ shén jīng tàn chá shù	指神经探查术
zhǐ shén jīng wěn hé shù	指神经吻合术
zhǐ shén jīng yí wèi shù	指神经移位术
zhǐ shén jīng yí zhí shù	指神经移植术
zhī shuāng qiāng xī chóng bìng	支双腔吸虫病
zhī tòng zhèng hóng pí bìng	肢痛症红皮病
zhì yàng máo zēng duō zhèng	痣样毛增多症
zhí yè xìng hēi pí bìng	职业性黑皮病
zhí yè xìng pí fū bìng	职业性皮肤病
zhī yì xìng jiǎo huà bìng	脂溢性角化病
zhī yì xìng jiǎo huà zhèng	脂溢性角化症
zhī yì xìng yín xiè bìng	脂溢性银屑病
zhī yuán tǐ xìng fèi yán	支原体性肺炎
zhǐ zhǎng cè zǒng shén jīng	指掌侧总神经
zhǐ zhǐ jiǎ qù chú shù	指趾甲去除术
zhì zhí yè xìng yǎn bìng	致职业性眼病
zhī zhū zhì xuè guǎn liú	蜘蛛痣血管瘤
zhì zǐ hé cí gòng zhèn	质子核磁共振
zhǐ zú dǐ zǒng shén jīng	趾足底总神经
zhòng dà dòng wù yì bìng	重大动物疫病
zhòng dòu xìng qiáng wēi zhěn	种痘性蔷薇疹
zhòng dòu yàng shuǐ pào bìng	种痘样水疱病
zhòng dú xìng bǔ lín zhèng	中毒性卟啉症
zhòng dú xìng dǎn guǎn yán	中毒性胆管炎
zhòng dú xìng fèi shuǐ zhǒng	中毒性肺水肿
zhòng dú xìng huá mó yán	中毒性滑膜炎
zhòng dú xìng huáng bān bìng	中毒性黄斑病
zhòng dú xìng jǐ suǐ bìng	中毒性脊髓病
zhòng dú xìng jié cháng yán	中毒性结肠炎
zhòng dú xìng jīng shén bìng	中毒性精神病
zhòng dú xìng nǎo mó yán	中毒性脑膜炎
zhòng dú xìng nóng pí bìng	中毒性脓皮病
zhòng dú xìng pí fū zhěn	中毒性皮肤疹
zhòng dú xìng shén jīng bìng	中毒性神经病
zhòng dú xìng shén jīng yán	中毒性神经炎
zhòng dú xìng wèi cháng yán	中毒性胃肠炎
zhòng dú xìng xīn jī yán	中毒性心肌炎
zhōng ěr ái qiē chú shù	中耳癌切除术
zhōng èr de shén jīng bìng	中二的神经病
zhōng ěr è xìng zhǒng liú	中耳恶性肿瘤
zhōng ěr liáng xìng zhǒng liú	中耳良性肿瘤
zhōng huá gān xī chóng bìng	中华肝吸虫病
zhōng jiān pú táo mó yán	中间葡萄膜炎
zhōng jiān yāo lín bā jié	中间腰淋巴结
zhōng jié cháng lín bā jié	中结肠淋巴结
zhòng jīn shǔ chén zhuó bìng	重金属沉着病
zhōng lú wō nǎo mó liú	中颅窝脑膜瘤
zhōng miǎn yóu qì guǎn dào	中缅油气管道
zhōng mò dǎo guǎn xiàn ái	终末导管腺癌
zhōng mò xì zhī qì guǎn	终末细支气管
zhōng pēi céng hùn hé liú	中胚层混合瘤
zhōng pēi céng xìng shèn liú	中胚层性肾瘤
zhòng shǔ hé rì shè bìng	中暑和日射病
zhōng shū shén jīng xì tǒng	中枢神经系统
zhōng xīn jìng mài zhì guǎn	中心静脉置管
zhòng zhèng jī wú lì zhèng	重症肌无力症
zhòng zhèng shǒu zú kǒu bìng	重症手足口病
zhòng zhí tǐ qǔ chū shù	种植体取出术
zhǒu bù jī jiàn duān bìng	肘部肌腱端病
zhǒu guān jié chéng xíng shù	肘关节成形术
zhǒu guān jié gù dìng shù	肘关节固定术
zhǒu guān jié jié gǔ shù	肘关节截骨术
zhǒu guān jié jìng jiǎn chá	肘关节镜检查
zhǒu guān jié lí duàn shù	肘关节离断术
zhǒu guān jié róng hé shù	肘关节融合术
zhǒu guān jié sōng jiě shù	肘关节松解术
zhǒu kāi fàng xìng shāng kǒu	肘开放性伤口
zhōu mài mó qiē chú shù	周脉膜切除术
zhōu qī xìng jīng shén bìng	周期性精神病
zhòu zhé xìng hòu pí bìng	皱折性厚皮病
zhū bù lǔ shì jūn bìng	猪布鲁氏菌病
zhǔ dòng mài bǔ piàn shù	主动脉补片术
zhǔ dòng mài dòng mài liú	主动脉动脉瘤
zhǔ dòng mài gù dìng shù	主动脉固定术
zhǔ dòng mài zào yǐng shù	主动脉造影术
zhǔ dòng mài zhì huàn shù	主动脉置换术
zhù gōng zhī qì guǎn yán	铸工支气管炎
zhǔ rèn dài suō duǎn shù	主韧带缩短术
zhǔ rèn dài xuán diào shù	主韧带悬吊术
zhù rù shàng qiāng jìng mài	注入上腔静脉
zhù sè xìng gān pí zhèng	著色性干皮症
zhù shè bù wèi nóng zhǒng	注射部位脓肿
zhù shè hòu yí xiàn yán	注射后胰腺炎
zhù shì xìng zhì jiǎn chá	注视性质检查
zhù yì lì bù zú zhèng	注意力不足症
