shū luǎn guǎn ái	输卵管癌
chǐ yín chéng xíng shù	齿龈成形术
chóng bìng gōu chóng bìng	虫病钩虫病
chóng bìng huí chóng bìng	虫病蛔虫病
chóng bìng náng chóng bìng	虫病囊虫病
chóng bìng náo chóng bìng	虫病蛲虫病
chóng bìng sī chóng bìng	虫病丝虫病
chóng bìng tāo chóng bìng	虫病绦虫病
chóng chún chún jī xíng	重唇唇畸形
chōng dòng gòu wù zhèng	冲动购物症
chóng dú jié fū zhèng	虫毒结肤证
chóng dú jié jù zhèng	虫毒结聚证
chóng jī cháng dào zhèng	虫积肠道证
chóng jī huà gān zhèng	虫积化疳证
chóng jì pí xià zhèng	虫寄皮下证
chóng jī shāng pí zhèng	虫积伤脾证
chóng jiǎn chéng xíng shù	重睑成形术
chóng qīn yú nǎo zhèng	虫侵于脑证
chóng rǎo pò mén zhèng	虫扰魄门证
chóng rǎo yú cháng zhèng	虫扰于肠证
chōng rèn bú gù zhèng	冲任不固证
chōng rèn shī tiáo zhèng	冲任失调证
chōng rèn xū shuāi zhèng	冲任虚衰证
chōng rèn yū zǔ zhèng	冲任瘀阻证
chóng shī yōng luò zhèng	虫湿壅络证
chóng tán hù jié zhèng	虫痰互结证
chóng xié fàn fèi zhèng	虫邪犯肺证
chóng yǎo xìng pí yán	虫咬性皮炎
chòu yǎng cè dìng shù	臭氧测定术
chǔ mén zōng hé zhēng	楚门综合征
chù tòng yí jiǎn chá	触痛仪检查
chuān páng guāng bì chù	穿膀胱壁处
chuān tōng xìng jí bìng	穿通性疾病
chuáng páng chāo jiǎn chá	床旁超检查
chuāng shāng hòu yí zhèng	创伤后遗症
chuāng shāng xìng kǒu yán	创伤性口炎
chuāng shāng xìng shuǐ zhǒng	创伤性水肿
chuāng shāng xìng xuè zhǒng	创伤性血肿
chuí bān qiē chú shù	椎扳切除术
chuí bǎn qiē chú shù	椎板切除术
chuí guǎn jiǎn yā shù	椎管减压术
chuí guǎn kuò dà shù	椎管扩大术
chuí guǎn nèi nóng zhǒng	椎管内脓肿
chuí guǎn tàn chá shù	椎管探查术
chuí guǎn xiá zhǎi zhèng	椎管狭窄症
chuí guǎn zào yǐng shù	椎管造影术
chuí jiān zhí gǔ shù	椎间植骨术
chuí liè chūn pí yán	椎猎蝽皮炎
chuí páng zhí gǔ shù	椎旁植骨术
chuí qián lín bā jié	椎前淋巴结
chuí tǐ guǎn náng zhǒng	垂体管囊肿
chuí tǐ huó jiǎn shù	垂体活检术
chuí tǐ wēi xiàn liú	垂体微腺瘤
chuí tǐ yí zhí shù	垂体移植术
chuí zhuàng zhǐ jī xíng	槌状指畸形
chuí zhuàng zhǐ jī xíng	槌状趾畸形
chún dān chún pào zhěn	唇单纯疱疹
chún è xìng zhǒng liú	唇恶性肿瘤
chún fēng wō zhī yán	唇蜂窝织炎
chún hòu tiān jī xíng	唇后天畸形
chún liáng xìng zhǒng liú	唇良性肿瘤
chún liè xù liè zhēng	唇裂序列征
chún lòu qiē chú shù	唇瘘切除术
chún nián yè náng zhǒng	唇黏液囊肿
cí gòng zhèn chéng xiàng	磁共振成像
cí gòng zhèn nèi jìng	磁共振内镜
cóng cǐ tì yé zhēng	从此替爷征
cóng zhuàng xuè guǎn liú	丛状血管瘤
cù jiǎ zhuàng xiàn sù	促甲状腺素
cuì fā zōng hé zhēng	脆发综合征
cuó chuāng xìng bān liú	痤疮性瘢瘤
cuó chuāng yàng pí zhěn	痤疮样皮疹
cuò shī kǒng huāng zhèng	错失恐慌症
cuò shī kǒng jù zhèng	错失恐惧症
dà cháng gǎn jūn bìng	大肠杆菌病
dà cháng huó jiǎn shù	大肠活检术
dà cháng jī zào zhèng	大肠激躁症
dà cháng jí zào zhèng	大肠急躁症
dà cháng jié rè zhèng	大肠结热证
dà cháng jīn kuī zhèng	大肠津亏证
dà cháng jìng jiǎn chá	大肠镜检查
dà cháng qiē kāi shù	大肠切开术
dà cháng shī rè zhèng	大肠湿热证
dà cháng xū hán zhèng	大肠虚寒证
dà cháng xuè guǎn liú	大肠血管瘤
dà cháng zhí cháng ái	大肠直肠癌
dà hán fàn fèi zhèng	大寒犯肺证
dà hán fèi rè zhèng	大寒肺热证
dà hàn xiàn náng liú	大汗腺囊瘤
dá huái èr shì bìng	达怀二氏病
dà kǒng nǎo mó liú	大孔脑膜瘤
dà kuài róng gǔ bìng	大块溶骨病
dá lǐ āi shì bìng	达里埃氏病
dà má jù tù zhèng	大麻剧吐症
dà nǎo fēng bì shù	大脑封闭术
dà nǎo hé shén jīng	大脑和神经
dà nǎo qián jìng mài	大脑前静脉
dà nǎo qiǎn jìng mài	大脑浅静脉
dà nǎo xià jìng mài	大脑下静脉
dà pào xìng pí yán	大泡性皮炎
dà tuǐ jié duàn shù	大腿截断术
dài mài zōng hé zhēng	代麦综合征
dài suǒ èr shì bìng	代索二氏病
dāi xiǎo lóng yǎ zhèng	呆小聋哑症
