ài shǔ	艾属
bái jí shǔ	白及属
bái jì yú	白鲫鱼
bái jiǎ yú	白甲鱼
bài jiàng kē	败酱科
bài jiàng shǔ	败酱属
bái jiè shǔ	白芥属
bài jìn shǔ	稗荩属
bái jīng shǔ	白鲸属
bài lā shǔ	拜拉属
bái lián yú	白鲢鱼
bǎi líng kē	百灵科
bǎi líng shǔ	百灵属
bái líng shǔ	白蛉属
bái líng yú	白鲮鱼
bái lù shǔ	白鹭属
bái má shǔ	白麻属
bái máo shǔ	白茅属
bái mó kē	白蘑科
bǎi mù shǔ	柏木属
bái qí yú	白旗鱼
bái qián shǔ	白前属
bái sǎn shǔ	白伞属
bái shēn yú	白身鱼
bái shù shǔ	白树属
bái sī yú	白丝鱼
bǎi suì yú	百岁鱼
bǎi táng shǔ	摆螳属
bài táng shǔ	拜螳属
bái tiáo yú	白条鱼
bǎi tóu yú	百头鱼
bái wěi hǎi	白尾海
bái wěi lù	白尾鹿
bái xī shǔ	白犀属
bái xiā shǔ	白虾属
bái xiān shǔ	白鲜属
bái xiǎn shǔ	白藓属
bái xiù shǔ	白锈属
bái xún kē	白鲟科
bái xún shǔ	白鲟属
bǎi yá shǔ	柏蚜属
bái yǐ kē	白蚁科
bái yǐ shǔ	白蚁属
bái yín mù	白银目
bái yú shǔ	白鱼属
bǎi yuān kē	百鸢科
bái zhāng kē	白樟科
bān bái yú	斑白鱼
bān bí yú	斑鼻鱼
bàn biān yú	半边鱼
bān biē shǔ	斑鳖属
bàn cháng shǔ	半鲿属
bàn chì mù	半翅目
bān cí kē	班茨科
bān cōng shǔ	斑蟌属
bān dié kē	斑蝶科
bān dié shǔ	斑蝶属
bān é kē	斑蛾科
bǎn è shǔ	板鳄属
bān fú shǔ	斑蝠属
bàn gǒu kē	半狗科
bān héng shǔ	斑鸻属
bān jī yú	斑鸡鱼
bàn jié yú	瓣结鱼
bān jiū shǔ	斑鸠属
bàn kǒng yú	半孔鱼
bān kuī yú	斑盔鱼
bǎn lán shǔ	板蓝属
bān lián shǔ	斑蠊属
bān líng shǔ	斑羚属
bǎn lóng kē	板龙科
bān lóng kē	斑龙科
bān lóng shǔ	斑龙属
bǎn lóng shǔ	板龙属
bān mǎ yú	斑马鱼
bān méng shǔ	斑虻属
bàn nián shǔ	半鲇属
bàn nián shǔ	半鲶属
bàn niǎo kē	半鸟科
bàn niǎo shǔ	半鸟属
bān pí shǔ	斑皮属
bān píng shǔ	斑鲆属
bàn quǎn shǔ	半犬属
bān què shǔ	斑雀属
bān rùn yú	班闰鱼
bān shā shǔ	斑鲨属
bàn shēn shǔ	半鲹属
bān shǔ kē	斑鼠科
bān sī kē	班斯科
bān tóu yú	斑头鱼
bàn tū shǔ	伴突属
bān wěi dài	斑尾袋
bān wén shǔ	斑蚊属
bǎn xī kē	板蜥科
bǎn xī shǔ	板蜥属
bàn xià shǔ	半夏属
bàn xiē kē	半蝎科
bàn xiē shǔ	半蝎属
bǎn xiè shǔ	板蟹属
bàn xióng shǔ	半熊属
bàn xuán kē	半旋科
bān yá kē	斑蚜科
bàn yáng shǔ	半羊属
bān yè lán	斑叶兰
bān yè shǔ	斑叶属
bān yī shǔ	斑衣属
bàn yì shǔ	半鮨属
bǎn zǎo shǔ	板藻属
bān zhū shǔ	斑蛛属
bān zǐ shǔ	斑籽属
bàng bāo kē	棒孢科
bàng bāo shǔ	棒孢属
bàng chóng kē	蚌虫科
bàng guā shǔ	棒瓜属
bàng huā yú	棒花鱼
bàng kē shǔ	棒柯属
bàng lì shǔ	蚌蛎属
bàng mù kē	棒木科
bàng mù shǔ	棒木属
bàng wèi shǔ	棒鳚属
bāng yú shǔ	邦鱼属
bàng zǎo kē	棒蚤科
bǎo bèi shǔ	宝贝属
bǎo bèi yú	宝贝鱼
bào chán yú	豹蟾鱼
bào cháng shǔ	豹鲿属
bǎo dǎo kē	宝岛科
bǎo dāo yú	宝刀鱼
bāo gōng yú	包公鱼
báo guāng yú	薄光鱼
bào guī shǔ	豹龟属
bào há kē	抱蛤科
bào há shǔ	抱蛤属
báo jiǎ mù	薄甲目
bāo lí shǔ	苞藜属
bǎo lì yú	宝丽鱼
bǎo lián yú	宝莲鱼
báo lín yú	薄鳞鱼
bào lóng kē	暴龙科
bào lóng shǔ	暴龙属
bào luó kē	鲍螺科
bǎo luó kē	宝螺科
bào luó shǔ	鲍螺属
bǎo luó shǔ	宝螺属
bāo mǎn kē	胞螨科
bāo mǎn shǔ	胞螨属
bāo máo shǔ	苞茅属
bào māo shǔ	豹猫属
báo qiū shǔ	薄鳅属
bǎo shí yú	宝石鱼
bǎo shù shǔ	堡树属
bào tǎ shǔ	豹鳎属
bāo tóu yú	包头鱼
bào wèi shǔ	豹鳚属
bào yà kē	豹亚科
bāo yī shǔ	苞衣属
bào yú shǔ	暴鱼属
bào zhì shǔ	暴蛭属
bāo zhū shǔ	胞蛛属
báo zhú shǔ	薄竹属
bào zhū shǔ	豹蛛属
bào zǒng kē	鲍总科
běi dà chóng	北大虫
běi guī shǔ	北鲑属
bēi hǔ shǔ	悲虎属
bèi jí yú	背棘鱼
bèi jiǎ mù	背甲目
bèi jú shǔ	被菊属
bēi jú shǔ	杯菊属
bèi kǒng kē	背孔科
bèi kǒng shǔ	背孔属
běi míng yú	北溟鱼
bèi mǔ shǔ	贝母属
běi ní shǔ	北鲵属
běi qiū shǔ	北鳅属
bèi sāi mù	被鳃目
bēi sǎn shǔ	杯伞属
bèi shāo shǔ	倍蛸属
bèi sī kē	贝斯科
běi suō yú	北梭鱼
bèi táng shǔ	倍螳属
bēi tóu kē	杯头科
bēi tóu shǔ	杯头属
běi wèi shǔ	北鳚属
bēi wěi shǔ	杯尾属
bèi xī shǔ	贝蟋属
bēi xiàn shǔ	杯苋属
běi xìn kē	北信科
běi xuě shǔ	北鳕属
bēi yè kē	杯叶科
bēi yè shǔ	杯叶属
běi yóu shǔ	北鱿属
bēi zhí shǔ	杯殖属
bèi zhū shǔ	备蛛属
bèn huáng shǔ	笨蝗属
bēn lóng kē	奔龙科
bēn lóng shǔ	奔龙属
běn mìng shǔ	本命属
bēn shé shǔ	奔蛇属
bēn zhū shǔ	奔蛛属
bèng huáng shǔ	蹦蝗属
bí ài shǔ	荸艾属
bì chán shǔ	碧蝉属
bì fēng shǔ	壁蜂属
bǐ guǎn yú	笔管鱼
bí guī shǔ	鼻龟属
bì hǔ kē	壁虎科
bì hǔ shǔ	壁虎属
bí huā shǔ	鼻花属
bí lóng mù	鼻龙目
bí lóng shǔ	鼻龙属
bì lú kē	婢鲈科
bǐ luó kē	笔螺科
bǐ luó shǔ	笔螺属
bì má shǔ	蓖麻属
bí qi shǔ	荸荠属
bì qián shǔ	壁钱属
bǐ shí kē	笔石科
bì táng shǔ	闭螳属
bì xī shǔ	壁蜥属
bì yì kē	避役科
bì yì shǔ	避役属
bì yíng shǔ	碧蝇属
bí yíng shǔ	鼻蝇属
bì yú kē	躄鱼科
bì yú shǔ	躄鱼属
bí yú shǔ	鼻鱼属
bí zhì shǔ	鼻蛭属
biǎn bǎi shǔ	扁柏属
biǎn chán shǔ	扁蟾属
biǎn chóng kē	扁虫科
biān chóng shǔ	鞭虫属
biān chóng shǔ	边虫属
biǎn chūn kē	扁蝽科
biān chūn kē	鞭蝽科
biān chūn shǔ	鞭蝽属
biǎn cōng kē	扁蟌科
biān dài shǔ	鞭带属
biǎn dòu shǔ	藊豆属
biǎn dòu shǔ	扁豆属
biān é shǔ	蝙蛾属
biǎn fēng shǔ	扁蜂属
biǎn fú kē	扁蜉科
biān fú kē	蝙蝠科
biǎn fú shǔ	扁蜉属
biān fú shǔ	蝙蝠属
biān fú yú	蝙蝠鱼
biǎn guī shǔ	扁龟属
biǎn jiǎ shǔ	扁甲属
biǎn jiāng shǔ	扁鳉属
biǎn jǐng shé	扁颈蛇
biàn kǒu mù	变口目
biǎn kǒu yú	扁口鱼
biǎn lěi shǔ	扁蕾属
biǎn luó kē	扁螺科
biǎn nián shǔ	扁鲶属
biān nián shǔ	鞭鲶属
biǎn quán kē	扁蜷科
biǎn quán shǔ	扁蜷属
biǎn shā kē	扁鲨科
biǎn shā shǔ	扁鲨属
biǎn shā shǔ	扁莎属
biān shé shǔ	鞭蛇属
biǎn shēn kē	扁鲹科
biān téng kē	鞭藤科
biān téng shǔ	鞭藤属
biǎn tǐ shǔ	扁体属
biān wěi yú	鞭尾鱼
biǎn wěn yú	扁吻鱼
biǎn wō shǔ	扁蜗属
biǎn xī shǔ	扁蜥属
biǎn xiā shǔ	扁虾属
biǎn xiè kē	扁蟹科
biān xiē kē	鞭蝎科
biǎn xiè shǔ	扁蟹属
biǎn xù shǔ	萹蓄属
biǎn yá kē	扁蚜科
biàn yè mù	变叶木
biǎn yè yù	扁叶芋
biǎn yíng shǔ	扁萤属
biān yóu kē	鞭鱿科
biān yóu shǔ	鞭鱿属
biàn yú kē	辫鱼科
biàn yú shǔ	辫鱼属
biàn zhū shǔ	便蛛属
biāo cǎo shǔ	藨草属
biāo há kē	杓蛤科
biāo há shǔ	杓蛤属
biāo lán shǔ	杓兰属
biāo lóng kē	彪龙科
biāo lóng shǔ	彪龙属
biāo lú shǔ	镖鲈属
biāo yù shǔ	杓鹬属
biē lián kē	鳖蠊科
bīn chūn kē	滨蝽科
bīn chūn shǔ	滨蝽属
bīn jú shǔ	滨菊属
bīn lí shǔ	滨藜属
bīn luó kē	滨螺科
bīn luó shǔ	滨螺属
bīn shǔ kē	滨鼠科
bīn shǔ shǔ	滨鼠属
bīn xiè shǔ	滨蟹属
bīn yù shǔ	滨鹬属
bīn zǎo shǔ	滨枣属
bīng cǎo shǔ	冰草属
bīng dòu shǔ	兵豆属
bìng dú shǔ	病毒属
bīng jí yú	冰棘鱼
