ān fèng	安凤
wáng lǔ	王鲁
wáng mào	王楙
wàng méi	望梅
wáng miǎn	王勔
wáng niè	王喦
wáng pāng	王雱
wáng qí	王淇
wáng qǐ	王起
wáng qiū	王丘
wáng róng	王镕
wáng shǎng	王赏
wáng shào	王邵
wáng shěn	王沈
wáng shēn	王诜
wāng shēn	汪莘
wáng shí	王识
wáng shì	王适
wáng shū	王枢
wáng wěi	王洧
wáng xióng	王熊
wáng yá	王涯
wáng yǎn	王偃
wáng yí	王沂
wáng yōng	王邕
wáng yuē	王约
wáng zàn	王瓒
wáng zhòng	王重
wáng zhòu	王胄
wāng zhū	汪洙
wáng zhù	王祝
wāng zhuó	汪晫
wáng zhuó	王濯
wāng zūn	汪遵
wéi bīng	韦冰
wéi chán	韦蟾
wéi dān	韦丹
wéi dǐng	韦鼎
wěi fàn	尾犯
wèi fēng	魏风
wéi hóng	韦洪
wéi jì	韦济
wéi jiàn	韦建
wéi jiǎn	韦检
wéi kàng	韦抗
wèi luán	魏峦
wèi pǔ	魏朴
wèi qǐ	魏杞
wéi shì	韦式
wéi shū	韦纾
wéi shù	韦述
wèi tuó	尉佗
wéi xiāng	韦骧
wèi yáng	渭阳
wèi yè	卫叶
wéi zhuāng	韦庄
wén bǐng	文丙
wén jiàn	文鉴
wén jué	文珏
wēn xiàn	温宪
wén yǎn	文偃
wén yì	文益
wēng dìng	翁定
wēng hé	翁合
wēng hóng	翁宏
wēng shòu	翁绶
wēng táo	翁洮
wǔ bīn	伍彬
wú dú	吾读
wú gǎn	吴感
wǔ gē	五歌
wú gǒng	吴巩
wú huǎng	吴晃
wú jī	吴激
wǔ jīng	五茎
wú jīng	吴兢
wú kāng	吴康
wú mèi	无寐
wú mèn	无闷
wú mì	吴秘
wǔ pāi	五拍
wú qì	无弃
wú qián	吴潜
wú qián	吴黔
wù qīng	悟清
wú róng	吴融
wǔ shǒu	五首
wú shū	吴叔
wǔ táng	伍唐
wǔ wēi	五微
wǔ wèi	五未
wǔ wù	五物
wú yáng	无羊
wǔ yāo	舞腰
wú yì	吴亿
wú yì	吴益
wú yǒng	吴泳
wú yuán	吴圆
wú yuàn	无怨
wú zhú	吴烛
xī dào	希道
xī hái	西还
xī hú	西湖
xī jū	溪居
xí kuí	席夔
xī sǒu	希叟
xí yù	席豫
xī zǐ	西子
xià gē	夏歌
xià hóng	夏鸿
xià jǐng	夏景
xià ní	夏倪
xià zhōu	夏州
xián chí	咸池
xiān wāng	先汪
xiān zuì	先醉
xiàng bó	巷伯
xiàng hào	向滈
xiāng qiú	香球
xiāng shǔ	相鼠
xiàng sī	项斯
xiāng yuè	湘月
xiāng yuè	相月
xiǎo biàn	小弁
xiāo fēi	萧妃
xiāo huí	萧回
xiāo jiàn	萧建
xiāo jié	萧结
xiāo jìng	萧静
xiāo kuàng	萧旷
xiǎo mín	小旻
xiāo què	萧悫
xiǎo róng	小戎
xiǎo suì	小碎
xiǎo wǎn	小宛
xiāo wēi	萧微
xiāo xiàng	萧项
xiāo xīn	萧昕
xiāo yì	萧意
xiāo yì	萧翼
xiāo yù	萧彧
xiè jiàng	谢绛
xiè mào	谢懋
xiè miǎo	谢邈
xiè táo	谢陶
xiè xiè	谢燮
xiè zhí	谢直
xīn hóng	辛宏
xīn liǔ	新柳
xíng duān	行端
xíng fèng	邢凤
xíng gōng	行宫
xíng jù	邢巨
xíng lù	行露
xíng qún	邢群
xíng shào	邢邵
xióng jié	熊节
xióng yào	熊曜
xiōng yuē	兄曰
xióng zhì	雄雉
xiù hù	绣户
xiū mù	修睦
xiū yǎ	修雅
xú bì	徐珌
xú bì	徐璧
xú chǎng	徐敞
xǔ dà	许大
xǔ dǐng	许鼎
xú gàn	徐干
xú hào	徐浩
xú hào	徐皓
xú héng	徐珩
xú hún	徐浑
xǔ hún	许浑
xú jī	徐积
xǔ jiān	许坚
xǔ jiāng	许将
xú jiè	徐介
xú kǎn	徐侃
xú lǐ	徐理
xǔ méi	许玫
xú miǎn	徐勉
xǔ mín	许岷
xú níng	徐凝
xǔ què	许碏
xú shāng	徐商
xǔ táng	许棠
xǔ tíng	许庭
xú wò	徐斡
xǔ yáo	许瑶
xú yín	徐夤
xú zhì	徐至
xū zhōng	虚中
xuán bǎo	玄宝
