lù áo	陆翱
lù chuān	陆川
lù hào	陆昊
lù jī	陆机
lù jì	陆绩
lù jiǎ	陆贾
lǔ jiǒng	鲁炅
lù kāng	陆慷
lù kāng	陆康
lù kàng	陆抗
lù lěi	陆磊
lù qí	陆奇
lù ruì	陆叡
lù yā	陆压
lù yǐ	陆扆
lù yóu	陆游
lù yǔ	陆羽
lù yún	陆云
lù zhōng	陆终
luó běn	罗本
luó dān	罗丹
luó fū	罗敷
luó jīng	罗京
luó lán	罗兰
luó lín	罗琳
luó màn	罗曼
luó sù	罗素
lǚ bù	吕布
lǚ gōng	吕公
lǚ hòu	吕后
lǚ jiā	吕嘉
lǚ kè	吕克
lǚ lín	吕林
lǚ méng	吕蒙
lǚ shàng	吕尚
lǚ wèi	吕渭
lǚ wēn	吕温
lǚ yì	吕乂
lǚ yuè	吕岳
lǚ zhì	吕雉
lǚ zǔ	吕祖
mǎ dài	马岱
mǎ dài	马戴
mǎ dēng	马登
mǎ ēn	马恩
mǎ fāng	马芳
mǎ féng	马逢
mǎ gāng	马钢
mǎ hàn	马汉
mǎ jiàn	马建
mǎ kǎi	马凯
mǎ lè	马勒
mǎ lín	马林
mǎ lín	马麟
mǎ lóng	马隆
mǎ míng	马鸣
mǎ nài	马奈
mǎ róng	马融
mǎ sù	马谡
mǎ tài	马太
mǎ wáng	马王
mǎ wǔ	马武
mǎ yīn	马殷
mǎ yuán	马原
mǎ yuán	马援
mǎ yuǎn	马远
mǎ yún	马云
mǎ zhōng	马忠
mǎ zhōu	马周
mǎ zǔ	马祖
mèng chǎng	孟昶
mèng chí	孟迟
mèng dé	孟德
mèng gǒng	孟珙
mèng guàn	孟贯
mèng guāng	孟光
mèng huò	孟获
mèng jiǎn	孟简
mèng jiāo	孟郊
mèng kāng	孟康
mèng kē	孟轲
mèng liáng	孟良
mèng mǔ	孟母
mèng qǐ	孟起
mèng sēn	孟森
mèng yōu	孟优
mèng zǐ	孟子
mèng zōng	孟宗
miào bīn	缪斌
mù dàn	穆旦
mù dí	穆迪
mù gōng	穆公
mù qīng	穆青
mù shèng	穆圣
mù wáng	穆王
mù zōng	穆宗
niè ěr	聂耳
niè fēng	聂风
niè zhèng	聂政
páng juān	庞涓
péi cuǐ	裴漼
péi dí	裴迪
péi dù	裴度
péi háng	裴航
péi jì	裴寂
péi jǔ	裴矩
péi lín	裴潾
péi qǐ	裴杞
péi qián	裴潜
péi shuō	裴说
péi xiū	裴休
péi xiù	裴秀
péi xū	裴谞
péi yán	裴炎
péi zhì	裴贽
qí fēi	齐妃
qí huàn	齐浣
qī jī	戚姬
qí jǐ	齐己
qí qín	齐秦
qí tài	齐泰
qí wáng	齐王
qiáo bā	乔巴
qiáo dān	乔丹
qiáo fēng	乔峰
qiáo liáng	乔良
qiáo qí	乔琪
qiáo rán	乔燃
qiáo shí	乔石
qiáo sǒu	乔叟
qiáo tuō	乔托
qiáo yǔ	乔羽
qiáo zhì	乔治
qín gāng	秦刚
qín guān	秦观
qín huì	秦桧
qín huī	秦晖
qín jiā	秦嘉
qín jūn	秦君
qín lǎng	秦朗
qín mì	秦宓
qín qióng	秦琼
qín shēng	秦升
qín wáng	秦王
qín yuè	秦越
qín zhōng	秦钟
qín zhòng	秦仲
qiú yīng	仇英
rǎn mǐn	冉闵
rǎn qiú	冉求
rǎn yǒu	冉有
ruǎn jí	阮籍
ruǎn yǔ	阮瑀
ruǎn yuè	阮阅
shào huá	邵华
shào yè	邵谒
shào yōng	邵雍
shěn chóng	沈崇
shěn fēi	沈飞
shěn fù	沈复
shěn hào	沈浩
shěn huì	沈晦
shěn kuò	沈括
shěn liàn	沈炼
shěn miǎo	沈邈
shěn péng	沈鹏
shěn yuē	沈约
shěn zhōu	沈周
shěn zuì	沈醉
shī láng	施琅
shī yáng	施洋
sòng cí	宋慈
sòng jiàn	宋健
sòng jiāng	宋江
sòng kē	宋柯
sòng lián	宋濂
sòng píng	宋平
sòng qí	宋祁
sòng wàn	宋万
sòng wǎn	宋琬
sòng yōng	宋雍
sūn bìn	孙膑
sūn bīn	孙斌
sūn cè	孙策
sūn ēn	孙恩
sūn fáng	孙鲂
sūn hào	孙皓
sūn jùn	孙峻
sūn kē	孙科
sūn liàng	孙亮
sūn qián	孙乾
sūn quán	孙权
sūn wén	孙文
sūn wǔ	孙武
sūn wú	孙吴
sūn xiū	孙休
sūn yú	孙瑜
wáng bēn	王贲
wáng bì	王弼
wáng bó	王勃
wáng càn	王粲
wáng chōng	王充
wáng chǒng	王宠
wáng dān	王丹
wáng dǎo	王导
wáng dūn	王敦
wáng fú	王符
wáng hàn	王翰
wáng hé	王龁
wáng jí	王吉
wáng jī	王基
wáng jì	王绩
wáng jiān	王坚
wáng jiàn	王健
wáng jiǎn	王翦
wáng jiàn	王建
wáng lǎng	王朗
wáng lì	王力
wáng lí	王离
wáng lún	王伦
wáng mǎng	王莽
wáng měng	王猛
wáng miǎn	王冕
wáng shù	王澍
wáng shuò	王朔
wáng sù	王肃
wáng wéi	王维
wáng wēi	王微
wáng xī	王吸
wáng xiàn	王献
wáng xiáng	王祥
wáng xiū	王脩
wáng xuǎn	王选
wáng yǎn	王衍
wáng yì	王毅
wáng yín	王垠
wáng yǔn	王允
wáng zuǒ	王佐
wèi dōng	魏东
wèi fú	魏扶
wèi guàn	卫瓘
wèi hóng	魏宏
wèi jì	卫觊
wèi jié	魏杰
wèi kàng	卫伉
wèi kè	魏克
wèi kūn	魏坤
wèi míng	魏明
wèi mó	魏谟
wèi pǔ	魏朴
wèi qǐ	魏杞
wèi qīng	卫青
wèi rǎn	魏冉
wèi shōu	魏收
wèi sī	魏斯
wèi yán	魏延
wèi yuán	魏源
wèi zhé	卫哲
wèi zhēn	卫臻
wèi zhēng	魏征
wèi zhuāng	卫庄
wēn gé	温格
wēn gōng	温公
wēn hóu	温侯
wēn huī	温恢
wēn jiào	温峤
wēn wáng	温王
wēn xiàn	温宪
wú chéng	吴澄
wú fèng	吴凤
wú guǎng	吴广
wú hán	吴晗
wú hàn	吴汉
wú mì	吴宓
wú qǐ	吴起
wú sī	吴思
wú wáng	吴王
wú xié	吴邪
wú yòng	吴用
wú zǐ	吴子
xī jīn	奚斤
xī zhòng	奚仲
xiāo bāng	肖邦
xiāo gāng	肖钢
xiāo hóng	肖红
xiāo huá	肖华
xiāo nài	肖奈
xiāo qīn	肖钦
xiāo quán	肖全
xiāo yáng	肖扬
xiāo yì	萧绎
xiāo yì	萧意
xiāo yì	萧翼
xiāo yīng	肖鹰
xiè ān	谢安
xiè bīn	谢彬
xiè dān	谢丹
xiè duān	谢端
xiè dùn	谢顿
xiè fēi	谢飞
xiè fēi	谢非
xiè fēng	谢锋
xiè gōng	谢公
xiè hè	谢赫
xiè huá	谢华
xiè huì	谢晦
xiè jiàng	谢绛
xiè kē	谢科
xiè kē	谢薖
xiè lǎng	谢朗
xiè lěi	谢磊
xiè lín	谢林
xiè mào	谢懋
xiè miǎo	谢邈
xiè píng	谢平
xiè qiān	谢迁
xiè shàng	谢尚
xiè tè	谢特
xiè tiān	谢添
xiè wěi	谢伟
xiè xiè	谢燮
xiè xuán	谢玄
xiè xùn	谢逊
xiè yǎn	谢琰
xiè yǎn	谢偃
xiè yè	谢烨
xú bīng	徐冰
xú chén	徐晨
xǔ chǔ	许褚
xú dá	徐达
xú fēi	徐妃
xú fú	徐福
xǔ fù	许负
xú huǎng	徐晃
xú huì	徐惠
xǔ hún	许浑
xǔ jì	许稷
xǔ jiāng	许将
xǔ jìng	许靖
xú kè	徐克
xú liàng	徐亮
xú miǎo	徐邈
xú míng	徐明
xǔ shèn	许慎
xú shèng	徐盛
xú shù	徐庶
xǔ táng	许棠
xú wèi	徐渭
xǔ xiān	许仙
xú xiáng	徐翔
xú xuān	徐宣
xú yì	徐奕
xǔ yōu	许攸
xǔ yóu	许由
xǔ zhé	许哲
xuē bà	薛霸
xuē féng	薛逢
xuē gāng	薛刚
xuē jì	薛稷
xuē jǔ	薛举
xuē jù	薛据
xuē lǐ	薛礼
xuē nè	薛讷
xuē néng	薛能
xuē pán	薛蟠
xuē shào	薛绍
xuē shì	薛式
xuē suì	薛燧
xuē tāo	薛涛
xuē xuān	薛瑄
xuē xuě	薛雪
xuē yáng	薛洋
xuē yào	薛曜
xuē yíng	薛莹
xuē yuè	薛岳
yán ān	闫安
yán bīn	严彬
yán fāng	闫芳
yán fáng	阎防
yán fù	严复
yán luó	阎罗
yán mó	阎魔
yān qīng	燕青
yán róu	阎柔
yān shùn	燕顺
yán sōng	严嵩
yán wang	阎王
yán xíng	阎行
yán yàn	阎焱
yán yǔ	阎宇
yán zhì	阎志
yáng dù	杨度
yáng fēi	杨妃
yáng fù	杨阜
yáng guǎng	杨广
yáng guò	杨过
yáng hóng	杨弘
yáng jiǎn	杨戬
yáng jiān	杨坚
yáng jiàng	杨绛
yáng jiǒng	杨炯
yáng jùn	杨骏
yáng jùn	杨浚
yáng jùn	杨濬
yáng kāng	杨康
yáng kuān	杨宽
yáng kuí	杨逵
yáng kuí	杨夔
yáng láo	杨牢
yáng pǔ	杨朴
yáng rèn	杨任
yáng róng	杨荣
yáng shèn	杨慎
yáng sù	杨素
yáng sǔn	杨损
yáng xióng	杨雄
yáng xiū	杨修
yáng yè	杨业
yáng yí	杨仪
yáng zhāo	杨昭
yáng zhèn	杨震
yáng zhū	杨朱
yáo bīn	姚滨
yáo cháng	姚苌
yáo chóng	姚崇
yáo hé	姚合
yáo hóng	姚泓
yáo hú	姚鹄
yáo jiǎ	姚贾
yáo kuí	姚揆
yáo miǎn	姚勉
yáo mǐn	姚敏
yáo míng	姚明
yáo nài	姚鼐
yáo qiān	姚谦
yáo xiān	姚仙
yáo xiāng	姚襄
yáo xīng	姚兴
yáo yáng	姚洋
yáo yíng	姚莹
yè fán	叶凡
yè fēi	叶飞
yè gōng	叶公
yè guì	叶桂
yè kāi	叶开
yè lán	叶澜
yè lǎng	叶朗
yè lì	叶莉
yè mào	叶茂
yè méi	叶梅
yè qiū	叶秋
yè qún	叶群
yè shì	叶适
yè shuài	叶帅
yè tán	叶檀
yè tǐng	叶挺
yè wèn	叶问
yè xiū	叶修
yè zhī	叶芝
yóu quán	尤权
yóu tóng	尤侗
yú jìng	余靖
yù liàng	郁亮
yuán ān	袁安
yuán bīn	袁彬
yuán gēng	袁庚
yuán guàn	袁瓘
yuán hóng	袁洪
yuán hóng	袁宏
yuán huàn	袁涣
yuán jiāo	袁郊
yuán kē	袁珂
yuán lǎng	袁朗
yuán méi	袁枚
yuán mǐn	袁敏
yuán shàng	袁尚
yuán shù	袁术
yuán shū	袁殊
yuán tán	袁谭
yuán táo	袁绹
yuán xī	袁熙
yuán yào	袁耀
yuán yīng	袁鹰
yuán yuè	袁岳
zāng bà	臧霸
zāng hóng	臧洪
zēng chéng	曾诚
zēng gǒng	曾巩
zēng jiāng	曾江
zēng kuí	曾揆
zēng zǐ	曾子
zhāng áo	张敖
zhāng bǎo	张宝
zhāng chǔ	张楚
zhāng chún	张纯
zhāng dá	张达
zhāng dài	张岱
zhāng ěr	张耳
zhāng fàn	张范
zhāng fēi	张飞
zhāng fēi	张菲
zhāng gā	张嘎
zhāng hé	张郃
zhāng héng	张衡
zhāng hóng	张纮
zhāng huá	张华
zhāng jì	张继
zhāng jí	张籍
zhāng jì	张济
zhāng jì	张既
zhāng jiǎn	张謇
zhāng jiǎo	张角
zhāng jié	张洁
zhāng jǔ	张矩
zhāng kǎi	张闿
zhāng lěi	张磊
zhāng liàng	张亮
zhāng liáng	张良
zhāng lǔ	张鲁
zhāng mào	张茂
zhāng níng	张宁
zhāng qiān	张骞
zhāng shuō	张说
zhāng sōng	张松
zhāng tíng	张庭
zhāng wěi	张炜
zhāng xiù	张绣
zhāng xù	张旭
zhāng xuán	张悬
zhāng xūn	张勋
zhāng xún	张巡
zhāng yì	张毅
zhāng yí	张仪
zhāng yí	张嶷
zhāng yǔ	张宇
zhāng zài	张载
zhāng zhāo	张昭
zhāng zhào	张照
zhāng zhèn	张震
zhào gāo	赵高
zhào gòu	赵构
zhào héng	赵恒
zhào jī	赵姬
zhào jí	赵佶
zhào pǔ	赵普
zhào shē	赵奢
zhào tuó	赵佗
zhào wáng	赵王
zhào yǎn	赵俨
zhào yì	赵翼
zhào yún	赵云
zhèng hé	郑和
zhèng jīng	郑经
zhèng xiè	郑獬
zhèng xìn	郑信
zhèng xiù	郑袖
zhèng xuán	郑玄
zhōng huá	钟华
zhōng lù	钟辂
zhōng mó	钟谟
zhōng róng	钟嵘
zhōng wáng	钟王
zhōng yáo	钟繇
zhōng yù	钟毓
zhōu bó	周勃
zhōu cāng	周仓
zhōu chāng	周昌
zhōu chǔ	周处
zhōu fáng	周鲂
zhōu gōng	周公
zhōu hòu	周后
zhōu jì	周济
zhōu láng	周郎
zhōu mì	周密
zhōu qiáng	周强
zhōu ruì	周锐
zhōu tài	周泰
zhōu wáng	周王
zhū bāo	朱褒
zhū biāo	朱标
zhū dé	朱德
zhū dì	朱棣
zhū fàng	朱放
zhū fēng	朱枫
zhū fú	朱服
zhū guì	朱贵
zhū huàn	朱涣
zhū jùn	朱骏
zhū kuí	朱逵
zhū mù	朱穆
zhū quán	朱权
zhū rán	朱然
zhū sōng	朱松
zhū tóng	朱仝
zhū wěi	朱鲔
zhū wēn	朱温
zhū wǔ	朱武
zhū yòu	朱祐
zhū zhì	朱治
zhuāng nú	庄奴
zhuāng wáng	庄王
zhuāng yǔ	庄羽
zhuāng zhōu	庄周
zhuāng zǐ	庄子
zhuāng zōng	庄宗
zōu jì	邹忌
zōu róng	邹容
zōu yǎn	邹衍
bó yì bō	薄一波
cài āi hóu	蔡哀侯
cài bǎi quán	蔡百铨
cài bāng huá	蔡邦华
cài bǐng dé	蔡秉德
cài bǐng kūn	蔡炳坤
cài bó jiē	蔡伯喈
cài bó lì	蔡伯励
cài chén zhōu	蔡辰洲
cài chéng jiǎ	蔡承甲
cài chéng xūn	蔡成勋
cài chóng dá	蔡崇达
cài chóng xìn	蔡崇信
cài chǔ shēng	蔡楚生
cài dá biāo	蔡达标
cài dá fēng	蔡达峰
cài dào gōng	蔡道恭
cài dé fāng	蔡德芳
cài dīng guì	蔡丁贵
cài dǐng jiǎ	蔡鼎甲
cài dīng zàn	蔡丁赞
cài dōng fān	蔡东藩
cài dōng qīng	蔡东青
cài ěr dé	蔡尔德
cài ěr kāng	蔡尔康
cài gēn péi	蔡根培
cài gōng shí	蔡公时
cài guān lún	蔡冠伦
cài guān shēn	蔡冠深
cài guān zhì	蔡官治
cài guó gōng	蔡国公
cài guó qiáng	蔡国强
cài guó shēng	蔡国声
cài hàn qīng	蔡汉卿
cài hé sēn	蔡和森
cài hóng píng	蔡洪平
cài hóng shēng	蔡鸿生
cài huán gōng	蔡桓公
cài huán hóu	蔡桓侯
cài huáng láng	蔡煌瑯
cài huì rú	蔡惠如
cài jì mín	蔡济民
cài jì míng	蔡继明
cài jiā mǐn	蔡加敏
cài jiā yí	蔡加怡
cài jiā zàn	蔡加赞
cài jiàn huá	蔡建华
cài jīn tú	蔡金涂
cài jǐng hóu	蔡景侯
cài jǐng zhāng	蔡景璋
cài lǐ xù	蔡礼旭
cài liáng chán	蔡良蝉
cài lín sēn	蔡林森
cài líng hóu	蔡灵侯
cài lóng yún	蔡龙云
cài měi biāo	蔡美彪
cài mèng jiān	蔡孟坚
cài míng chāo	蔡铭超
cài míng jiè	蔡明介
cài míng liàng	蔡明亮
cài míng zhào	蔡名照
cài míng zhōng	蔡明忠
cài nán hǎi	蔡南海
cài pān lóng	蔡攀龙
cài péi huì	蔡培慧
cài péi huǒ	蔡培火
cài píng hóu	蔡平侯
cài qí chāng	蔡其昌
cài qǐ fāng	蔡启芳
cài qǐ zǔn	蔡启僔
cài qīng xiáng	蔡清祥
cài róng zǔ	蔡荣祖
cài rú kǎi	蔡儒楷
cài ruì yuè	蔡瑞月
cài ruò hóng	蔡若虹
cài ruò lián	蔡若莲
cài shàn jì	蔡善继
cài shàng jūn	蔡尚君
cài shào jī	蔡绍基
cài shēn xī	蔡申熙
cài shī píng	蔡诗萍
cài shì yīng	蔡士英
cài shì yuǎn	蔡世远
cài shǒu xùn	蔡守训
cài shū dù	蔡叔度
cài shù fān	蔡树藩
cài shū héng	蔡枢衡
cài sōng nián	蔡松年
cài sōng pō	蔡松坡
cài sōng sōng	蔡嵩松
cài tiān duó	蔡天铎
cài tiān xīn	蔡天新
cài tíng kǎi	蔡廷锴
cài tíng lán	蔡廷兰
cài tóng róng	蔡同荣
cài wàn lín	蔡万霖
cài wén gōng	蔡文恭
cài wén hóu	蔡文侯
cài wén jī	蔡文姬
cài wén shèng	蔡文胜
cài xī jì	蔡希寂
cài xì lì	蔡细历
cài xī táo	蔡希陶
cài xī yǒng	蔡锡勇
cài xiàn chén	蔡献臣
cài xiào gàn	蔡孝干
cài xiào wǎn	蔡笑晚
cài xīng lín	蔡兴麟
cài xīng zōng	蔡兴宗
cài yā yá	蔡押衙
cài yán hòu	蔡言厚
cài yǎn míng	蔡衍明
cài yì jiāng	蔡义江
cài yì yú	蔡易余
cài yǐn qiū	蔡隐丘
cài yīng tǐng	蔡英挺
cài yīng wén	蔡英文
cài yǒng xiáng	蔡永祥
cài yù róng	蔡毓荣
cài yuán dìng	蔡元定
cài yuán fàng	蔡元放
cài yuán péi	蔡元培
cài yuán yún	蔡元云
cài yǔn gōng	蔡允恭
cài zhāng xiàn	蔡章献
cài zhāo hóu	蔡昭侯
cài zhé fū	蔡哲夫
cài zhèn huá	蔡振华
cài zhèng guó	蔡正国
cài zhèng yuán	蔡正元
cài zhì kān	蔡智堪
cài zhì zhōng	蔡志忠
cài zhōng láng	蔡中郎
cài zhòng nán	蔡仲南
cài zhuāng hóu	蔡庄侯
cài zǐ mín	蔡子民
cài zǐ míng	蔡子明
cáo ā mán	曹阿瞒
cáo ān mín	曹安民
cáo bǎo píng	曹保平
cáo biàn jiāo	曹变蛟
cáo dé wàng	曹德旺
cáo dí qiū	曹荻秋
cáo fèng qí	曹凤岐
cáo gāng chuān	曹刚川
cáo guāng biāo	曹光彪
cáo guó gōng	曹国公
cáo guó jiù	曹国舅
cáo guó wěi	曹国伟
cáo huà chún	曹化淳
cáo huáng hòu	曹皇后
cáo jí xiáng	曹吉祥
cáo jiàn míng	曹建明
cáo jǐng zōng	曹景宗
cáo jiǒng fāng	曹炯芳
cáo jù rén	曹聚仁
cáo màn zhī	曹漫之
cáo mèng dé	曹孟德
cáo rǔ lín	曹汝霖
cáo ruì yuán	曹瑞原
cáo tài hòu	曹太后
cáo wén xuān	曹文轩
cáo wén zhào	曹文诏
cáo xīng chéng	曹兴诚
cáo xiū gǔ	曹修古
cáo xuě qín	曹雪芹
cáo xuě tāo	曹雪涛
cáo xūn xuàn	曹薰铉
cáo yàn huá	曹燕华
cáo yún xiáng	曹云祥
cáo zhèn yōng	曹振镛
cáo zhōng róng	曹忠荣
cáo zhuāng gōng	曹庄公
