huáng kūn	黄昆
huáng quán	黄筌
huáng xiē	黄歇
huáng xīng	黄兴
huáng zhāng	黄章
huáng zhòu	黄胄
huáng zì	黄自
huáng zōng	黄宗
huò chá	霍查
huò dá	霍达
huò dōu	霍都
huò dùn	霍顿
huò jīn	霍金
huò jùn	霍峻
huò yì	霍弋
huò yǔ	霍禹
jiǎ chōng	贾充
jiǎ dǎo	贾岛
jiǎ fāng	贾芳
jiǎ fù	贾复
jiǎ hào	贾昊
jiǎ hòu	贾后
jiǎ kāng	贾康
jiǎ kuí	贾逵
jiǎ lěi	贾磊
jiǎ méi	贾梅
jiǎ mì	贾谧
jiǎ sān	贾三
jiǎ sēn	贾森
jiǎ shēng	贾生
jiǎ wěi	贾伟
jiǎ wéi	贾维
jiǎ yán	贾岩
jiǎ yǎn	贾弇
jiǎ yì	贾谊
jiǎ yì	贾奕
jiǎ yīng	贾应
jiǎ zhēn	贾珍
jiǎ zhì	贾至
jiǎ zōng	贾宗
jiāng chéng	江澄
jiǎng chuān	蒋川
jiǎng fán	蒋凡
jiāng fān	江藩
jiāng fēi	江妃
jiǎng gàn	蒋干
jiāng gē	姜戈
jiāng gē	江歌
jiāng gé	江革
jiǎng gōng	蒋公
jiǎng huàn	蒋涣
jiǎng jì	蒋济
jiāng jiǎo	姜皎
jiāng jiě	江姐
jiǎng jié	蒋捷
jiāng kuí	姜夔
jiāng píng	江平
jiǎng qīn	蒋钦
jiāng qīng	江青
jiāng róng	姜戎
jiǎng róng	蒋蓉
jiāng shàng	姜尚
jiāng tāo	姜涛
jiǎng wǎn	蒋琬
jiāng xī	姜晞
jiǎng xūn	蒋勋
jiāng yān	江淹
jiāng yán	姜岩
jiāng yǒng	江永
jīn jiǔ	金九
jīn nóng	金农
jīn yōng	金庸
jīn zhā	金吒
kǒng huī	孔辉
kǒng míng	孔明
kǒng qiū	孔丘
kǒng róng	孔融
kǒng shēng	孔笙
kǒng xuān	孔宣
kǒng yí	孔夷
kǒng yóng	孔颙
kǒng yòu	孔侑
kǒng zǐ	孔子
lǐ ān	李安
lǐ áng	李昂
lǐ áo	李敖
lǐ bái	李白
lǐ chuǎng	李闯
lì duì	厉兑
lì è	厉鹗
lí fěi	黎斐
lí féng	黎逢
lǐ guǎng	李广
lí huán	黎桓
lǐ jìng	李靖
lǐ jué	李傕
lǐ kuí	李逵
lǐ kuī	李悝
lí lì	黎利
lí lì	黎力
lí màn	黎曼
lí mǐn	黎敏
lǐ péng	李鹏
lǐ rú	李儒
lǐ sī	李斯
lǐ sù	李肃
lí sǔn	黎笋
lì wáng	厉王
lǐ wèi	李卫
lǐ xī	李熙
lǐ xiǎng	李想
lǐ yán	李严
lǐ yóu	李由
lǐ yú	李渔
lǐ yuān	李渊
lǐ zhì	李治
liáng biǎo	梁表
liáng hǎi	梁海
liáng hóng	梁红
liáng hóng	梁鸿
liáng huáng	梁锽
liáng jì	梁冀
liáng jiàn	梁建
liáng jūn	梁军
liáng jūn	梁君
liáng lù	梁璐
liáng mèng	梁孟
liáng míng	梁明
liáng shēng	梁生
liáng tāo	梁涛
liáng wěi	梁伟
liáng wèi	梁位
liáng xí	梁习
liáng xiàn	梁献
liáng xìn	梁信
liáng xuàn	梁铉
liáng yàn	梁燕
liáng yào	梁耀
liáng yì	梁毅
liáng yǐng	梁颖
liáng yǔ	梁宇
liáng zhèn	梁震
liáng zhì	梁陟
lín bái	林白
lín biāo	林彪
lín bīn	林斌
lín bū	林逋
lín chāo	林超
lín chōng	林冲
lín cōng	林聪
lín dá	林达
lín dàn	林旦
lín dòng	林动
lín duó	林铎
lín fēng	林枫
lín gāo	林皋
lín hǎi	林海
lín hǔ	林虎
lín kěn	林肯
lín lì	林立
lín nài	林奈
lín níng	林宁
lín qí	林奇
lín qiáng	林强
lín quán	林全
lín qún	林群
lín sēn	林森
lín shēn	林申
lín shū	林殊
lín shū	林纾
lín tāo	林涛
lín xī	林夕
lín xī	林希
lín xiāo	林萧
lín xiè	林燮
lín xù	林旭
lín yīng	林璎
lín zǎo	林藻
lín zhāo	林昭
lín zhí	林植
lín zhōng	林钟
lín zhū	林洙
lín zī	林滋
liú ān	刘安
liú bā	刘巴
liú bāng	刘邦
liú bèi	刘备
liú bì	刘濞
liú biàn	刘辩
liú biǎo	刘表
liú chè	刘彻
liú dé	刘德
liú féi	刘肥
liú fēng	刘封
liú fù	刘馥
liú hè	刘贺
